06/21/2021 12/21/2021,Unnamed: 0,06/29/2021,Ceratizit Los Angeles LLC,Unnamed: 1,Compton,Los Angeles County 73 Closure Permanent,Unnamed: 2,Unnamed: 3
06/24/2021 08/22/2021,,06/29/2021,Wells Fargo & Company,,San Francisco,San Francisco County 33 Layoff Permanent,,
Summary,,,Employees,Permanent,Temporary,Not Identified Permanent,Temporary,Not Identified
by Month,,,Notices Affected,Layoff,Layoff,Layoff Closure,Closure,Closure
July 2020,,,"323 32,995",121,133,17 21,31,17
August 2020,,,"292 31,382",101,133,14 28,16,14
September 2020,,,"439 47,290",239,140,13 32,15,13
October 2020,,,"199 17,517",115,47,11 23,3,11
November 2020,,,"182 18,459",90,46,6 32,8,6
December 2020,,,"116 12,683",35,56,2 12,11,2
January 2021,,,"221 18,772",48,107,8 28,30,8
February 2021,,,"78 10,002",34,18,3 21,2,3
March 2021,,,"57 5,898",22,9,4 21,1,4
April 2021,,,"98 3,719",23,3,2 61,9,2
May 2021,,,"40 3,212",13,3,1 22,1,1
June 2021,,,"42 3,300",26,1,0 15,0,0
,,Total,"2,087 205,229",867,696,81 316,127,81
