10/18/2021,10/18/2021.1,10/18/2021.2,"Belcampo Butchery, LLC",Siskiyou County,80 Layoff Permanent,329 S. Phillipe Lane  Yreka CA 96097
10/21/2021,10/25/2021,12/23/2021,Musco Family Olive Co.,Glenn County,13 Layoff Temporary,608 5th Avenue  Orland CA 95963
10/20/2021,10/25/2021,10/20/2021,Wells Fargo,San Francisco County,6 Layoff Permanent,333 Market Street  San Francisco CA 94105
10/20/2021,10/25/2021,10/20/2021,Wells Fargo,San Francisco County,5 Layoff Permanent,550 California Street  San Francisco CA
,,,,,,94104
10/20/2021,10/25/2021,10/20/2021,Wells Fargo,San Francisco County,6 Layoff Permanent,525 Market Street  San Francisco CA 94105
10/20/2021,10/25/2021,01/07/2022,Alza Corporation,Solano County,55 Layoff Permanent,700 Eubanks Drive  Vacaville CA 95688
10/21/2021,10/26/2021,12/20/2021,Zymergen Inc.,Alameda County,82 Layoff Permanent,5980 Horton Street Suite 105  Emeryville
,,,,,,CA 94608
10/25/2021,10/26/2021,12/27/2021,Adamas Pharmaceuticals Inc.,Alameda County,60 Layoff Permanent,1900 Powell Street  Emeryville CA 94608
10/26/2021,10/26/2021,12/31/2021,VSP Global,Sacramento County,13 Layoff Permanent,3333 Quality Drive  Rancho Cordova CA
,,,,,,95670
10/14/2021,10/26/2021,12/13/2021,Silgan Containers,Stanislaus County,80 Layoff Temporary,3250 Patterson Road  Riverbank CA 95367
10/14/2021,10/26/2021,12/20/2021,Silgan Containers,Stanislaus County,80 Layoff Temporary,3250 Patterson Road  Riverbank CA 95367
10/14/2021,10/26/2021,12/27/2021,Silgan Containers,Stanislaus County,131 Layoff Temporary,3250 Patterson Road  Riverbank CA 95367
10/14/2021,10/26/2021,01/03/2022,Silgan Containers,Stanislaus County,131 Layoff Temporary,3250 Patterson Road  Riverbank CA 95367
10/14/2021,10/26/2021,01/10/2022,Silgan Containers,Stanislaus County,131 Layoff Temporary,3250 Patterson Road  Riverbank CA 95367
10/14/2021,10/26/2021,01/17/2022,Silgan Containers,Stanislaus County,80 Layoff Temporary,3250 Patterson Road  Riverbank CA 95367
10/21/2021,10/27/2021,10/25/2021,"Kirkhill, Inc",Orange County,527 Layoff Temporary,300 E Cypress St  Brea CA 92821
10/27/2021,10/27/2021,12/31/2021,VSPOne San Diego,San Diego County,4 Closure Permanent,2651 La Mirada Drive  Vista CA 92081
10/25/2021,10/27/2021,12/31/2021,DHL Supply Chain,Santa Clara County,118 Layoff Permanent,1285 Walsh Avenue  Santa Clara CA 95050
10/29/2021,10/29/2021,01/07/2022,Alza Corporation,Solano County,51 Layoff Permanent,700 Eubanks Drive  Vacaville CA 95688
10/27/2021,11/01/2021,12/31/2021,"National Diversified Sales, Inc.",Fresno County,30 Closure Permanent,2855 South East Avenue  Fresno CA 93725
