04/25/2023,06/30/2023,09/02/2023,"David's Bridal, LLC",Unnamed: 0,Los Angeles County,Unnamed: 1,33 Layoff Permanent,Unnamed: 2,334- 6151 West Pico Blvd  Los Angeles CA 90035,Unnamed: 3,Unnamed: 4
04/25/2023,06/30/2023,09/02/2023,"David&rsquo;s Bridal, LLC",,Los Angeles County,,34 Layoff Permanent,,7621 Carson St  Long Beach CA 90808,,
04/25/2023,06/30/2023,09/02/2023,"David's Bridal, LLC",,Orange County,,36 Layoff Permanent,,901-D South Coast Dr Ste 200  Costa Mesa CA 92626,,
04/25/2023,06/30/2023,09/02/2023,"David's Bridal, LLC",,Orange County,,28 Layoff Permanent,,810 East Imperial Highway  Brea CA 92821,,
04/25/2023,06/30/2023,09/02/2023,"David&rsquo;s Bridal, LLC",,San Bernardino County,,44 Layoff Permanent,,4410 Ontario Mills Pkwy  Ontario CA 91764,,
04/25/2023,06/30/2023,09/02/2023,"David&rsquo;s Bridal, LLC",,Los Angeles County,,34 Layoff Permanent,,21712 Hawthorne Blvd Ste 310E  Torrance CA 90503,,
04/25/2023,06/30/2023,09/02/2023,"David's Bridal, LLC",,Ventura County,,21 Layoff Permanent,,1865 Ventura Blvd  Oxnard CA 93036,,
Summary,,Employees,,,Temporary,,Not Identified Permanent,,,,Not Identified
by Month,Notices,Affected,Permanent Layoff,,Layoff,,Layoff Closure,,Temporary Closure,,Closure
July 2022,56,"5,597",,36.0,,0.0,1 19,,,0.0,1
August 2022,43,"4,251",,18.0,,3.0,0 21,,,1.0,0
September 2022,54,"5,562",,24.0,,4.0,0 26,,,0.0,0
October 2022,43,"5,618",,22.0,,1.0,0 12,,,8.0,0
November 2022,100,"9,347",,72.0,,1.0,0 27,,,0.0,0
December 2022,89,"8,275",,60.0,,1.0,0 28,,,0.0,0
January 2023,126,"11,161",,88.0,,0.0,0 37,,,1.0,0
February 2023,103,"11,345",,77.0,,1.0,0 25,,,0.0,0
March 2023,67,"6,025",,54.0,,0.0,0 12,,,1.0,0
April 2023,70,"7,515",,50.0,,0.0,0 19,,,1.0,0
May 2023,77,"10,557",,44.0,,2.0,0 30,,,1.0,0
June 2023,60,"5,440",,41.0,,1.0,0 18,,,0.0,0
Total,888,"90,693",,586.0,,14.0,1 274,,,13.0,1
