10/24/2022,10/25/2022,12/31/2022,"Avanir Pharmaceuticals, Inc.",Orange County,109 Layoff Permanent,30 Enterprise Suite 200  Aliso Viejo CA 92656
10/23/2022,10/25/2022,12/23/2022,UTC Restaurant Ventures LLC dba Great Maple,San Diego County,61 Closure Permanent,8675 Genesee Avenue Suite 1200  San Diego CA 92122
10/21/2022,10/25/2022,12/25/2022,Jabil Inc.,San Joaquin County,83 Closure Temporary,550 Carnegie Street  Manteca CA 95337
10/24/2022,10/25/2022,12/18/2022,Jabil Inc.,Solano County,51 Closure Temporary,524 Stone Road  Benicia CA 94510
10/25/2022,10/26/2022,12/30/2022,Pennymac,Los Angeles County,20 Layoff Permanent,251 S. Lake Avenue  Pasadena CA 91101
10/25/2022,10/26/2022,12/30/2022,Pennymac,Placer County,1 Layoff Permanent,3013 Douglas Blvd  Roseville CA 95661
09/30/2022,10/26/2022,10/14/2022,"CareFusion Resources, LLC, a subsidiary of Becton,",San Diego County,26 Layoff Permanent,10020 Pacific Mesa Boulevard  San Diego CA 92121
,,,Dickinson and Company,,,
09/30/2022,10/26/2022,10/14/2022,"CareFusion Resources, LLC, a subsidiary of Becton,",San Diego County,58 Layoff Permanent,3750 Torrey View Court  San Diego CA 92130
,,,Dickinson and Company,,,
10/25/2022,10/27/2022,10/25/2022,"Roth Staffing Companies, L.P. dba Ultimate Staffing",Alameda County,164 Layoff Permanent,7005 Southfront Road  Livermore CA 94551
,,,"Services at FormFactor, Inc.",,,
10/05/2022,10/27/2022,12/31/2022,TAP Manufacturing LLC and TAP Worldwide LLC dba 4,Los Angeles County,293 Layoff Permanent,400 West Artesia Blvd.  Compton CA 90220
,,,Wheel Parts,,,
10/25/2022,10/27/2022,12/30/2022,Pennymac,Ventura County,12 Layoff Permanent,3143 Townsgate Road  Westlake Village CA 91361
10/25/2022,10/27/2022,12/30/2022,Pennymac,Ventura County,27 Layoff Permanent,112 Lakeview Canyon Road  Thousand Oaks CA 91362
10/25/2022,10/27/2022,12/30/2022,Pennymac,Ventura County,10 Layoff Permanent,6101 Condor Drive  Moorpark CA 93021
10/25/2022,10/27/2022,01/02/2023,Terre du Soleil dba Auberge du Soleil,Napa County,206 Closure Temporary,180 Rutherford Hill Road  Rutherford CA 94573
09/30/2022,10/28/2022,11/30/2022,"Demetrix, Inc.",Alameda County,4 Layoff Permanent,7th 2929 Street  Berkeley CA 94710
10/28/2022,10/28/2022,12/31/2022,Selman Breitman LLP,Los Angeles County,81 Closure Permanent,11766 Wilshire Boulevard  Los Angeles CA 90025
10/27/2022,10/28/2022,12/31/2022,Scotts Temecula Operations LLC,Riverside County,15 Layoff Permanent,42375 Remington Ave  Temecula CA 92590
10/26/2022,10/28/2022,11/01/2022,"Mindbody, Inc.",San Luis Obispo County,94 Layoff Permanent,651 Tank Farm Road  San Luis Obispo CA 93401
08/16/2022,10/31/2022,10/18/2022,Cepheid,Alameda County,632 Closure Permanent,7000 Gateway Blvd  Newark CA 94560
08/16/2022,10/31/2022,10/18/2022,Cepheid,Alameda County,36 Closure Permanent,6601 Overlake Place  Newark CA 94560
08/16/2022,10/31/2022,10/18/2022,Cepheid,Santa Clara County,250 Layoff Permanent,904 Caribbean Drive  Sunnyvale CA 94089
08/16/2022,10/31/2022,10/18/2022,Cepheid,Santa Clara County,1 Layoff Permanent,630-632 Caribbean Drive  Sunnyvale CA 94089
08/16/2022,10/31/2022,10/18/2022,Cepheid,Santa Clara County,1 Layoff Permanent,1339 Moffett Park Drive  Sunnyvale CA 94089
08/16/2022,10/31/2022,10/18/2022,Cepheid,Santa Clara County,1 Layoff Permanent,1325-1327 Chesapeake Terrace  Sunnyvale CA 94089
08/16/2022,10/31/2022,10/18/2022,Cepheid,Santa Clara County,1 Layoff Permanent,1315 Chesapeake Terrace  Sunnyvale CA 94089
08/16/2022,10/31/2022,10/18/2022,Cepheid,Santa Clara County,1 Layoff Permanent,914-918 Caribbean Drive  Sunnyvale CA 94089
08/16/2022,10/31/2022,10/18/2022,Cepheid,Santa Clara County,1 Layoff Permanent,1324 Chesapeake Terrace  Sunnyvale CA 94089
08/16/2022,10/31/2022,10/18/2022,Cepheid,Santa Clara County,1 Layoff Permanent,2550 Great America Way  Santa Clara CA 95054
08/16/2022,10/31/2022,10/18/2022,Cepheid,San Joaquin County,20 Layoff Permanent,225 North Guild Avenue  Lodi CA 95240
08/16/2022,10/31/2022,10/18/2022,Cepheid,San Joaquin County,1 Layoff Permanent,121 North Guild Avenue  Lodi CA 95240
08/16/2022,10/31/2022,10/18/2022,Cepheid,San Joaquin County,1 Layoff Permanent,850 Thurman Street  Lodi CA 95240
08/16/2022,10/31/2022,10/18/2022,Cepheid,San Joaquin County,1 Layoff Permanent,1330 East Thurman Road  Lodi CA 95240
10/28/2022,11/01/2022,12/30/2022,"Lucira Health, Inc.",Alameda County,41 Layoff Permanent,412 62nd Street  Emeryville CA 94608
