12/14/2023,01/24/2024,02/18/2024,PacPizza dba Pizza Hut - 011753,Sacramento County,1 Layoff Permanent,6619 Florin Road  Sacramento CA 95828
12/14/2023,01/24/2024,02/16/2024,PacPizza dba Pizza Hut - 011755,Sacramento County,7 Layoff Permanent,1100 Fulton Ave.  Sacramento CA 95825
12/14/2023,01/24/2024,02/17/2024,PacPizza dba Pizza Hut - 011761,Sacramento County,7 Layoff Permanent,5323-A Elkhorn Blvd.  Sacramento CA 95842
12/14/2023,01/24/2024,02/25/2024,PacPizza dba Pizza Hut - 014697,Sacramento County,4 Layoff Permanent,6400-B Sunrise Blvd  Citrus Heights CA 95610
12/14/2023,01/24/2024,02/19/2024,Southern PacPizza dba Pizza Hut - 029211,San Bernardino County,7 Layoff Permanent,20811 Bear Valley Rd. Suite C  Apply Valley CA 93208
12/14/2023,01/24/2024,02/20/2024,Southern PacPizza dba Pizza Hut - 029213,San Bernardino County,4 Layoff Permanent,481 Armory Road  Barstow CA 92311
12/14/2023,01/24/2024,02/16/2024,Southern PacPizza dba Pizza Hut - 029225,San Bernardino County,10 Layoff Permanent,16455 Main Street  Hesperia CA 92345
12/14/2023,01/24/2024,02/16/2024,Southern PacPizza dba Pizza Hut - 029215,San Bernardino County,13 Layoff Permanent,14582 Palmdale Rd.  Victorville CA 92392
12/14/2023,01/24/2024,02/19/2024,Southern PacPizza dba Pizza Hut - 029202,San Bernardino County,5 Layoff Permanent,12183 Hesperia Rd.  Victorville CA 92392
12/14/2023,01/24/2024,02/15/2024,Southern PacPizza dba Pizza Hut - 029210,San Bernardino County,3 Layoff Permanent,58012 29 Palms Hwy  Yucca Valley CA 92284
12/14/2023,01/24/2024,02/15/2024,Southern PacPizza dba Pizza Hut - 029200,San Bernardino County,2 Layoff Permanent,72526 29 Palms Hwy  Twentynine Palms CA 92277
01/03/2024,01/24/2024,03/05/2024,"NuVasive, Inc.",San Diego County,157 Layoff Permanent,7475 Lusk Boulevard  San Diego CA 92121
01/02/2024,01/24/2024,03/02/2024,"Adidas America, Inc.",San Francisco County,28 Closure Permanent,865 Market Street  San Francisco CA 94103
12/14/2023,01/24/2024,02/14/2024,PacPizza dba Pizza Hut,San Joaquin County,4 Layoff Permanent,4729 N. Pershing Ave. Suite A  Stockton CA 95207
12/14/2023,01/24/2024,02/15/2024,PacPizza dba Pizza Hut,San Joaquin County,3 Layoff Permanent,920 N. Main  Manteca CA 95336
12/14/2023,01/24/2024,02/13/2024,PacPizza dba Pizza Hut,San Joaquin County,3 Layoff Permanent,720 West 11st Street  Tracy CA 95376
12/14/2023,01/24/2024,02/24/2024,PacPizza dba Pizza Hut,Santa Clara County,4 Layoff Permanent,1171 1st Street  Gilroy CA 95020
12/14/2023,01/24/2024,02/23/2024,PacPizza dba Pizza Hut - 011728,Santa Clara County,4 Layoff Permanent,3094 Story Road  San Jose CA 95127
12/14/2023,01/24/2024,02/17/2024,PacPizza dba Pizza Hut - 011729,Santa Clara County,4 Layoff Permanent,5689 Cottle Road  San Jose CA 95123
12/14/2023,01/24/2024,02/17/2024,PacPizza dba Pizza Hut - 032516,Santa Clara County,5 Layoff Permanent,226 W. Alma Ave. Suite 40  San Jose CA 95110
12/14/2023,01/24/2024,02/16/2024,PacPizza dba Pizza Hut - 011730,Santa Clara County,3 Layoff Permanent,3161 Senter Road  San Jose CA 95111
12/14/2023,01/24/2024,02/15/2024,CalPac Pizza II LLC dba Pizza Hut,Stanislaus County,6 Layoff Permanent,1047 W. Orangeburg Ave.  Modesto CA 95350
12/14/2023,01/24/2024,02/15/2024,PacPizza dba Pizza Hut,Stanislaus County,4 Layoff Permanent,2600 Mitchell Road Suite P  Ceres CA 95307
12/14/2023,01/24/2024,02/20/2024,PacPizza dba Pizza Hut,Stanislaus County,6 Layoff Permanent,2401 E. Orangeburg Avenue Unit 200  Modesto CA 95355
12/14/2023,01/24/2024,02/15/2024,PacPizza dba Pizza Hut,Stanislaus County,2 Layoff Permanent,920 Lander Ave.  Turlock CA 95380
12/14/2023,01/24/2024,02/16/2024,Southern PacPizza dba Pizza Hut - 029229,Tulare County,10 Layoff Permanent,393 W. Olive Ave.  Porterville CA 93257
12/14/2023,01/24/2024,02/16/2024,Southern PacPizza dba Pizza Hut - 029230,Tulare County,6 Layoff Permanent,276 W. Henderson AVe.  Porterville CA 93257
12/14/2023,01/24/2024,02/17/2024,Southern PacPizza dba Pizza Hut - 029226,Tulare County,4 Layoff Permanent,416 E. Tulare AVe.  Visalia CA 93277
