12/09/2024,12/09/2024.1,12/13/2024,"Bavarian Nordic, Inc.",San Diego County,48 Closure Permanent,6725 Nancy Ridge Drive  San Diego CA 92121
12/06/2024,12/10/2024,12/14/2024,"TVI, Inc. dba Savers",Contra Costa County,52 Closure Permanent,2521 Somersville Rd.  Antioch CA 94509
11/20/2024,12/10/2024,01/26/2025,DMSI,Kern County,9 Layoff Permanent,3501 Zachary Avenue  Shafter CA 93263
11/20/2024,12/10/2024,01/26/2025,DMSI,Kern County,528 Layoff Permanent,2801 Zachary Avenue  Shafter CA 93263
11/20/2024,12/10/2024,01/26/2025,DMSI,Riverside County,4 Layoff Permanent,24103 San Michele Road  Moreno Valley CA 92551
11/20/2024,12/10/2024,01/26/2025,DMSI,Riverside County,493 Layoff Permanent,3404 Indian Avenue  Perris CA 92571
11/20/2024,12/10/2024,01/26/2025,DMSI,Riverside County,581 Layoff Permanent,17800 Perris Blvd  Moreno Valley CA 92551
11/20/2024,12/10/2024,01/26/2025,DMSI,Riverside County,28 Layoff Permanent,17350 Perris Blvd  Moreno Valey CA 92551
12/10/2024,12/10/2024,02/01/2025,"Faros Unlimited, Inc",Los Angeles County,160 Closure Permanent,"11099 S. La Cienega Blvd., Suite 152  Los Angeles CA 90045"
12/10/2024,12/10/2024,02/01/2025,"Faros Unlimited, Inc",Los Angeles County,11 Closure Permanent,3883 W. Century Blvd  Inglewood CA 90303
12/10/2024,12/10/2024,02/07/2025,Safeway,San Francisco County,112 Closure Permanent,1335 Webster St.  San Francisco CA 94115
12/10/2024,12/11/2024,03/28/2025,Corteva Agriscience LLC,Contra Costa County,3 Layoff Permanent,901 Loveridge Road  Pittsburg CA 94565
12/13/2024,12/13/2024,01/31/2025,UMA Enterprises,Los Angeles County,36 Layoff Permanent,350 W Apra Street  Compton CA 90220
12/13/2024,12/13/2024,01/31/2025,UMA Enterprises,San Bernardino County,62 Layoff Permanent,15207 Flight Avenue  Chino CA 91710
12/12/2024,12/13/2024,02/11/2025,"Divergent Technologies, Inc.",Los Angeles County,84 Layoff Permanent,19601 Hamilton Avenue  Torrance CA 90502
12/16/2024,12/16/2024,03/03/2025,"F2 TPS, LLC",Los Angeles County,251 Closure Permanent,11871 East Carson Street  Hawaiian Gardens CA 90716
12/16/2024,12/16/2024,03/03/2025,"F2 TPS, LLC",Orange County,31 Closure Permanent,"10833 Valley View Street, Suite 100  Cypress CA 90630"
12/16/2024,12/17/2024,02/14/2025,Plenty Unlimited Inc.,Los Angeles County,48 Closure Permanent,126 E. Oris St.  Compton CA 90222
12/16/2024,12/17/2024,02/14/2025,ECAMSECURE,Los Angeles County,2 Layoff Permanent,3400 E Airport Way  Long Beach CA 90806
12/15/2024,12/17/2024,02/24/2025,"SDH Services West, LLC",Santa Clara County,49 Closure Permanent,3090 Bowers Avenue  Santa Clara CA 95054
12/15/2024,12/17/2024,02/24/2025,"SDH Services West, LLC",Santa Clara County,1 Closure Permanent,3333 Scott Blvd  Santa Clara CA 95054
12/15/2024,12/17/2024,02/24/2025,"SDH Services West, LLC",Santa Clara County,1 Closure Permanent,3101 Scott Blvd  Santa Clara CA 95054
12/15/2024,12/17/2024,02/24/2025,"SDH Services West, LLC",Santa Clara County,17 Closure Permanent,974 East Arques Avenue  Sunnyvale CA 94085
12/15/2024,12/17/2024,02/24/2025,"SDH Services West, LLC",Santa Clara County,18 Closure Permanent,1140 East Arques Avenue  Sunnyvale CA 94085
12/16/2024,12/17/2024,02/17/2025,Golden Gate University,San Francisco County,1 Layoff Permanent,536 Mission St  San Francisco CA 94105
12/18/2024,12/18/2024,02/24/2025,"McDonalds Restaurants of California, Inc.",Alameda County,64 Closure Temporary,1620 Strobridge Ave.  Castro Valley CA 94546
12/17/2024,12/18/2024,02/24/2025,"McDonalds Restaurants of California, Inc.",Los Angeles County,78 Closure Temporary,10350 Reseda Blvd.  Porter Ranch CA 91326
11/25/2024,12/18/2024,01/22/2025,CVS,Monterey County,7 Closure Permanent,8063 San Miguel Canyon Road  Salinas CA 93907
