01/29/2025,01/29/2025.1,03/28/2025,Corteva Agriscience LLC,Contra Costa County,20 Layoff Permanent,901 Loveridge Road  Pittsburg CA 94565
01/29/2025,01/29/2025,03/31/2025,Pregis,Los Angeles County,45 Closure Permanent,159 N. San Antonio Avenue  Pomona CA 91767
01/28/2025,01/29/2025,03/29/2025,Quantumscape Battery Inc.,Santa Clara County,53 Layoff Permanent,1730 Technology Drive  San Jose CA 95110
01/27/2025,01/29/2025,03/31/2025,InvenSense Inc.,Santa Clara County,55 Layoff Permanent,1745 Technology Drive Suite #200 San Jose CA 95110
01/30/2025,01/30/2025,03/31/2025,Rich Products Corporation,Los Angeles County,139 Closure Permanent,12805 Busch Place  Santa Fe Springs CA 90670
01/30/2025,01/30/2025,04/01/2025,"CARGO Therapeutics, Inc.",San Mateo County,81 Layoff Permanent,835 Industrial Rd #400  San Carlos CA 94070
01/30/2025,01/30/2025,03/31/2025,Intel Corporation,Sacramento County,58 Layoff Permanent,1900 Prairie City Rd.  Folsom CA 95630
01/30/2025,01/30/2025,03/31/2025,1 Click Logistics,Sacramento County,12 Closure Permanent,7461 Metro Air Parkway  Sacramento CA 95837
01/30/2025,01/30/2025,03/31/2025,Sensata Technologies,Santa Barbara County,57 Closure Permanent,6382 Rose Ln.  Carpinteria CA 93013
01/31/2025,01/31/2025,03/17/2025,Walgreens,Alameda County,26 Closure Permanent,1456 136th Avenue  San Leandro CA 94577
01/31/2025,01/31/2025,03/25/2025,Walgreens,Fresno County,18 Closure Permanent,852 E Manning Avenue  Reedley CA 93654
01/31/2025,01/31/2025,03/31/2025,Surveillance Security Inc. of Unarmed Security Guards,Kern County,1 Layoff Permanent,1801 Westwind Drive  Bakersfield CA 93301
01/31/2025,01/31/2025,03/20/2025,Walgreens,Los Angeles County,19 Closure Permanent,11604 Whittier Blvd  Whittier CA 90601
01/31/2025,01/31/2025,03/27/2025,Walgreens,Los Angeles County,27 Closure Permanent,617 W 7th Street  Los Angeles CA 90017
01/31/2025,01/31/2025,01/31/2025,Surveillance Security Inc. of Unarmed Security Guards,Los Angeles County,122 Layoff Permanent,11301 Wilshire Blvd  Los Angeles CA 90073
01/31/2025,01/31/2025,03/31/2025,Surveillance Security Inc. of Unarmed Security Guards,Los Angeles County,1 Layoff Permanent,16111 Plummer Street  North Hills CA 91343
01/31/2025,01/31/2025,03/31/2025,Surveillance Security Inc. of Unarmed Security Guards,Los Angeles County,1 Layoff Permanent,340 East Avenue 1  Lancaster CA 93535
01/31/2025,01/31/2025,03/31/2025,Surveillance Security Inc. of Unarmed Security Guards,Los Angeles County,1 Layoff Permanent,5426 E. Olympic Blvd  Commerce CA 90022
01/31/2025,01/31/2025,03/31/2025,Surveillance Security Inc. of Unarmed Security Guards,Los Angeles County,1 Layoff Permanent,7 W. Foothill Blvd  Arcadia CA 91006
01/31/2025,01/31/2025,03/31/2025,Surveillance Security Inc. of Unarmed Security Guards,Los Angeles County,8 Layoff Permanent,351 E. Temple Street  Los Angeles CA 90012
01/31/2025,01/31/2025,03/24/2025,Walgreens,Orange County,8 Closure Permanent,1201 E Yorba Linda Blvd  Placentia CA 92870
01/31/2025,01/31/2025,03/25/2025,Walgreens,Orange County,13 Closure Permanent,3237 E Chapman Avenue  Orange CA 92869
01/31/2025,01/31/2025,03/26/2025,Walgreens,Orange County,22 Closure Permanent,11900 Beach Blvd  Stanton CA 90680
01/31/2025,01/31/2025,03/31/2025,Surveillance Security Inc. of Unarmed Security Guards,San Luis Obispo County,1 Layoff Permanent,"1288 Morro Street, Ste #200  San Luis Obispo CA 93401"
01/31/2025,01/31/2025,03/31/2025,Surveillance Security Inc. of Unarmed Security Guards,Santa Barbara County,1 Layoff Permanent,1550 E. Main Street  Santa Maria CA 93454
01/31/2025,01/31/2025,03/31/2025,Surveillance Security Inc. of Unarmed Security Guards,Santa Barbara County,1 Layoff Permanent,4440 Calle Real  Santa Barbara CA 93110
01/31/2025,01/31/2025,03/19/2025,Walgreens,Tulare County,16 Closure Permanent,170 W El Monte Way  Dinuba CA 93618
01/31/2025,01/31/2025,03/31/2025,Surveillance Security Inc. of Unarmed Security Guards,Ventura County,1 Layoff Permanent,5250 Ralston Street  Ventura CA 93003
