06/25/2025,06/26/2025,08/28/2025,Cushman & Wakefield (543),Unnamed: 0,San Francisco County,Unnamed: 1,1 Layoff Permanent,543 Howard St  San Francisco CA 94105,Unnamed: 2,Unnamed: 3
06/25/2025,06/26/2025,08/28/2025,Cushman & Wakefield,,Santa Barbara County,,6 Layoff Permanent,6410 Via Real  Carpinteria CA 93013,,
06/25/2025,06/26/2025,08/28/2025,Cushman & Wakefield (401),,Santa Clara County,,1 Layoff Permanent,401 San Antonio Rd  Mountain View CA 94040,,
06/25/2025,06/26/2025,08/28/2025,Cushman & Wakefield (455),,Santa Clara County,,2 Layoff Permanent,455 E Middlefield Rd  Mountain View CA 94043,,
06/25/2025,06/26/2025,08/28/2025,Cushman & Wakefield (1000),,Santa Clara County,,12 Layoff Permanent,1000 W Maude Avenue  Sunnyvale CA 94085,,
06/25/2025,06/26/2025,08/28/2025,Cushman & Wakefield (845),,Santa Clara County,,49 Layoff Permanent,845 W Maude Ave  Sunnyvale CA 94085,,
06/25/2025,06/26/2025,09/27/2025,Richland Ace Hardware,,Stanislaus County,,10 Closure Permanent,2531 E. Whitmore Avenue  Ceres CA 95307,,
06/26/2025,06/27/2025,08/25/2025,"Beachbody, LLC",,Los Angeles County,,70 Layoff Permanent,400 North Continental Blvd.  El Segundo CA 90245,,
06/30/2025,06/30/2025,08/31/2025,Bicycle Transit Systems,,Los Angeles County,,65 Layoff Permanent,164 W Jefferson Blvd  Los Angeles CA 90007,,
06/30/2025,06/30/2025,09/05/2025,Araca Ink LLC,,Los Angeles County,,64 Layoff Permanent,459 Park Avenue  San Fernando CA 91340,,
06/25/2025,06/30/2025,07/15/2025,Intel Corporation - Robert Noyce,,Santa Clara County,,57 Layoff Permanent,2200 Mission College Blvd.  Santa Clara CA 95054,,
06/25/2025,06/30/2025,07/15/2025,Intel Corporation - SC-1 3065 Bowers,,Santa Clara County,,1 Layoff Permanent,3065 Bowers Avenue  Santa Clara CA 95054,,
06/25/2025,06/30/2025,07/15/2025,Intel Corporation - SC-2,,Santa Clara County,,1 Layoff Permanent,3065 Bowers Avenue  Santa Clara CA 95054,,
06/25/2025,06/30/2025,07/15/2025,Intel Corporation - SC-9,,Santa Clara County,,4 Layoff Permanent,3601 Juliette Lane  Santa Clara CA 95054,,
06/25/2025,06/30/2025,07/15/2025,Intel Corporation - SC-11,,Santa Clara County,,2 Layoff Permanent,2191 Laurelwood Road  Santa Clara CA 95054,,
06/25/2025,06/30/2025,07/15/2025,Intel Corporation,,Santa Clara County,,45 Layoff Permanent,3600 Juliette Lane  Santa Clara CA 95054,,
06/30/2025,06/30/2025,06/30/2025,"Supernal, LLC - 401",,Alameda County,,27 Layoff Permanent,401 Kato Terrance  Fremont CA 94539,,
06/30/2025,06/30/2025,06/30/2025,"Supernal, LLC - 1062",,Kern County,,1 Layoff Permanent,"1062 Flight Line, 2nd Floor  Mojave CA 93501",,
06/27/2025,06/30/2025,09/02/2025,Pier 15 Logistics LLC Amazon Delivery Station - HLA1,,Orange County,,50 Closure Permanent,5650 Dolly Avenue  Buena Park CA 90621,,
06/30/2025,06/30/2025,06/30/2025,"Supernal, LLC - 15555",,Orange County,,20 Layoff Permanent,15555 Laguna Canyon Road  Irvine CA 92618,,
06/30/2025,06/30/2025,06/30/2025,"Supernal, LLC - 117",,Orange County,,5 Layoff Permanent,117 Waterworks Way  Irvine CA 92618,,
06/25/2025,06/30/2025,07/11/2025,Intel Corporation,,Sacramento County,,54 Layoff Permanent,1900 Prairie City Road  Folsom CA 95630,,
06/30/2025,06/30/2025,09/01/2025,Marketing.com,,San Diego County,,72 Closure Permanent,8830 Siempre Viva Road  San Diego CA 92154,,
Summary,,Employees,,,Temporary,,Not Identified Permanent,,,Not Identified
by Month,Notices,Affected,Permanent Layoff,,Layoff,,Layoff Closure,Temporary Closure,,Closure
July 2024,107,"5,390",,53.0,,2.0,0 51,,0.0,1
August 2024,69,"4,942",,41.0,,3.0,0 24,,1.0,0
September 2024,84,"7,317",,56.0,,6.0,0 20,,2.0,0
October 2024,153,"9,054",,123.0,,3.0,0 23,,4.0,0
November 2024,231,"7,619",,60.0,,1.0,0 167,,3.0,0
December 2024,70,"4,463",,44.0,,1.0,0 23,,2.0,0
