08/30/2024,08/30/2024.1,10/31/2024,Intel Corporation,Santa Clara County,15 Layoff Permanent,2191 Laurelwood Road  Santa Clara CA 95054
08/30/2024,08/30/2024,10/31/2024,Intel Corporation,Santa Clara County,23 Layoff Permanent,3600 Juliette Lane  Santa Clara CA 95054
08/30/2024,08/30/2024,09/06/2024,DermTech,San Diego County,51 Layoff Permanent,12340 El Camino Real #100  San Diego CA 92130
08/30/2024,08/30/2024,10/29/2024,"ImmunityBio, Inc.",Los Angeles County,6 Layoff Permanent,2040 E Mariposa Avenue  El Segundo CA 90245
08/30/2024,08/30/2024,10/29/2024,"ImmunityBio, Inc.",Los Angeles County,1 Layoff Permanent,2024 E Mariposa Avenue  El Segundo CA 90245
08/30/2024,08/30/2024,10/29/2024,"ImmunityBio, Inc.",Los Angeles County,3 Layoff Permanent,605 S Douglas Street  El Segundo CA 90245
08/30/2024,08/30/2024,10/29/2024,"ImmunityBio, Inc.",Los Angeles County,1 Layoff Permanent,430 Duley Road  El Segundo CA 90245
08/30/2024,08/30/2024,10/29/2024,"ImmunityBio, Inc.",Los Angeles County,5 Layoff Permanent,9920 Jefferson Blvd  Culver City CA 90232
08/30/2024,08/30/2024,10/31/2024,Elaine Bell Catering Company,Napa County,164 Closure Permanent,776 Technology Way  Napa CA 94558
09/03/2024,09/03/2024,11/03/2024,Save Mart Supermarkets LLC dba Yosemite Wholesale,Merced County,254 Closure Permanent,2674 East Vassar Avenue  Merced CA 95341
,,,Company,,,
08/30/2024,09/03/2024,11/03/2024,Johns Manville,Glenn County,100 Layoff Temporary,5916 County Road 49  Willows CA 95988
09/03/2024,09/03/2024,11/02/2024,"Hogan Personnel, LLC",San Bernardino County,98 Closure Permanent,15060 Ceres Avenue  Fontana CA 92335
09/03/2024,09/03/2024,11/02/2024,"Hogan Services, Inc.",San Bernardino County,14 Closure Permanent,15060 Ceres Avenue  Fontana CA 92335
08/31/2024,09/03/2024,10/30/2024,"TuSimple, Inc.",San Diego County,1 Layoff Permanent,9191 Towne Centre Drive  San Diego CA 92122
08/28/2024,09/03/2024,11/01/2024,BioMarin Pharmaceutical Inc.,Marin County,94 Layoff Permanent,770 Lindaro Street  San Rafael CA 94901
08/28/2024,09/03/2024,11/01/2024,BioMarin Pharmaceutical Inc.,Marin County,52 Layoff Permanent,105 Digital Drive  Novato CA 94949
08/28/2024,09/03/2024,11/01/2024,BioMarin Pharmaceutical Inc.,Sonoma County,1 Layoff Permanent,1600 Fisher Dr.  Petaluma CA 94954
09/04/2024,09/04/2024,11/08/2024,Enervenue,Alameda County,65 Layoff Permanent,3500 Gateway Blvd  Fremont CA 94538
08/30/2024,09/04/2024,08/29/2024,City National Bank,Los Angeles County,2 Layoff Permanent,555 S. Flower Street  Los Angeles CA 90012
09/03/2024,09/04/2024,11/08/2024,Edwards Lifesciences LLC,Orange County,192 Layoff Permanent,One Edwards Way  Irvine CA 92614
09/03/2024,09/04/2024,11/08/2024,Edwards Lifesciences LLC,Orange County,1 Layoff Permanent,East Alton Pkwy  Santa Ana CA 92705
08/30/2024,09/04/2024,10/31/2024,Planet Labs PBC,San Francisco County,1 Layoff Permanent,"645 Harrison Street, 4th Floor  San Francisco CA 94107"
09/04/2024,09/04/2024,11/04/2024,"ChargePoint, Inc.",Santa Clara County,64 Layoff Permanent,240 E. Hacienda Avenue  Campbell CA 95008
09/04/2024,09/05/2024,10/31/2024,"Big Lots, Inc.",San Bernardino County,349 Closure Permanent,18880 Navajo Road  Apple Valley CA 92307
09/05/2024,09/05/2024,11/04/2024,"PerfectVision Manufacturing, Inc.",San Bernardino County,6 Closure Permanent,10837-A Commerce Way  Fontana CA 92337
09/04/2024,09/05/2024,11/06/2024,"Illumina, Inc.",San Diego County,3 Layoff Permanent,5200 Illumina Way  San Diego CA 92122
09/05/2024,09/05/2024,09/04/2024,Stanislaus Surgical Hospital,Stanislaus County,164 Layoff Temporary,1421 Oakdale Road  Modesto CA 95355
09/06/2024,09/06/2024,11/05/2024,"Distribution Alternatives, Inc.",San Bernardino County,1 Layoff Permanent,18012 Slover Avenue  Bloomington CA 92316
