07/17/2020,07/17/2020.1,07/28/2020,"PT Gaming, LLC",Manteca,San Joaquin County,94 Layoff Permanent
07/23/2020,06/19/2020,07/28/2020,"Avatar Foods International Inc, dba Global Gourmet",Saratoga,Santa Clara County,10 Layoff Temporary
,,,Catering,,,
07/23/2020,06/30/2020,07/28/2020,"LSI-Silvercreek, LLC.",San Jose,Santa Clara County,139 Layoff Type Unknown
04/02/2020,03/31/2020,07/28/2020,"Dentemploy, Inc.",Fairfield,Solano County,7 Layoff Temporary
04/10/2020,04/10/2020,07/28/2020,"Beta Beauty, LLC",Oxnard,Ventura County,2 Layoff Temporary
04/10/2020,04/10/2020,07/28/2020,"ColourPop Cosmetics, LLC",Oxnard,Ventura County,9 Layoff Permanent
04/10/2020,04/10/2020,07/28/2020,The Spatz Corporation,Oxnard,Ventura County,1 Layoff Temporary
07/28/2020,08/31/2020,07/28/2020,test,West Sacramento,Yolo County,52 Layoff Temporary
03/27/2020,03/27/2020,07/28/2020,Angels Baseball LP Operations,Anaheim,Orange County,1 Layoff Type Unknown
06/26/2020,06/26/2020,07/28/2020,MOCA,Los Angeles,Los Angeles County,5 Closure Temporary
07/23/2020,07/26/2020,07/28/2020,"Mayfield House, LLC dba Mayfield Bakery and Cafe",Palo Alto,Santa Clara County,51 Layoff Permanent
07/06/2020,07/10/2020,07/29/2020,Course At Wente Vineyards,Livermore,Alameda County,48 Layoff Type Unknown
07/06/2020,07/10/2020,07/29/2020,Wente Family Estates,Livermore,Alameda County,331 Closure Temporary
07/23/2020,07/23/2020,07/29/2020,NBCU et al,Universal City,Los Angeles County,24 Layoff Permanent
07/23/2020,07/27/2020,07/29/2020,Honeywell,Torrance,Los Angeles County,260 Layoff Temporary
05/08/2020,04/15/2020,07/29/2020,"Ricoh USA,  Inc.",Culver City,Los Angeles County,25 Layoff Temporary
07/07/2020,07/07/2020,07/29/2020,Summit Machine Inc,Ontario,San Bernardino County,41 Layoff Permanent
07/20/2020,07/17/2020,07/29/2020,"Torrid, LLC",Ventura,Ventura County,7 Layoff Temporary
