Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,WARN Report,Unnamed: 4,Unnamed: 5
,,,,Summary by State Fiscal Year,,
,,,,"July 1, 2021 - June 30, 2022",,
Notice,Received,Effective,,,,
Date,Date,Date,Company,County No. Of Employees Layoff/Closure Type,,Address
06/25/2021,07/01/2021,07/31/2021,Hotel Managers Group at the DoubleTree Hotel,Alameda County 63 Layoff Permanent,,39900 Balentine Drive  Newark CA 94560
06/29/2021,07/01/2021,07/29/2021,IAP Worldwide Services Inc.,Fresno County 108 Layoff Permanent,,5168 E. Dakota Ave.  Fresno CA 93727
06/28/2021,07/01/2021,06/29/2021,Farmgirl Flowers,Santa Cruz County 72 Closure Permanent,,481 San Andreas Road  Watsonville CA
,,,,,,95076
06/24/2021,07/01/2021,08/02/2021,"Francis Ford Coppola Presents, LLC",Sonoma County 90 Layoff Permanent,,300 Via Archimedes  Geyserville CA 95441
07/01/2021,07/06/2021,09/03/2021,J.J. Charles Inc dba Use Pallet Company,Fresno County 56 Closure Permanent,,4115 S. Orange Avenue  Fresno CA 93725
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,Imperial County 1 Layoff Permanent,,1605 third St. Bldg 214  El Centro CA 92243
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,Kern County 1 Layoff Permanent,,Bldg 98004 E. Moyer Ave. Rm 7  Ridgecrest
,,,,,,CA 93555
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,Kings County 5 Layoff Permanent,,730 Enterprise Avenue  Lemoore CA 93246
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,Monterey County 1 Layoff Permanent,,7 Grace Hopper Ave.  Monterey CA 93943
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,Orange County 3 Layoff Permanent,,800 Seal Beach Blvd. Bldg 123  Seal Beach
,,,,,,CA 90740
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,Riverside County 2 Layoff Permanent,,1999 Fourth St. Bldg 509  Norco CA 92860
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,Riverside County 1 Layoff Permanent,,17101 Haecock Avenue  Moreno CA 92551
07/06/2021,07/06/2021,09/04/2021,"Chick-fil-A, Inc.",San Bernardino County 110 Closure Temporary,,4350 Ontario Mills Parkway  Ontario CA
,,,,,,91764
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Bernardino County 1 Layoff Permanent,,MCAGCC Bldg 1431  Twentynine Palms CA
,,,,,,92277
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County 10 Layoff Permanent,,140 Sylvester Rd.  San Diego CA 92106
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County 17 Layoff Permanent,,1482 Read Rd.  San Diego CA 92135
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County 7 Layoff Permanent,,3380 Sturtevant Rd.  San Diego CA 92136
07/06/2021,07/06/2021,06/30/2021,Perspecta Inc. dba Peraton Inc.,San Diego County 2 Layoff Permanent,,3970 Sherman St.  San Diego CA 92110
