10/29/2021,11/03/2021,12/29/2021,PD Systems,Monterey County,74 Closure Permanent,"Fort Hunter Liggett, Building 3360, Hunter"
,,,,,,Liggett Road  Jolon CA 93928
10/29/2021,11/03/2021,12/31/2021,"OrthoNorcal, Inc.",Santa Clara County,67 Layoff Permanent,"340 Dardanelli Lane, Ste. 10 & Ste. 20  Los"
,,,,,,Gatos CA 95032
10/29/2021,11/03/2021,12/31/2021,"OrthoNorCal, Inc.",Santa Clara County,1 Layoff Permanent,"50 E. Main St., Suite A  Morgan Hill CA"
,,,,,,95037
10/29/2021,11/03/2021,12/31/2021,"OrthoNorCal, Inc.",Santa Clara County,8 Layoff Permanent,"1600 Saratoga Ave., Ste. 46  San Jose CA"
,,,,,,95129
10/29/2021,11/05/2021,12/31/2021,"OrthoNorCal, Inc.",San Francisco County,6 Layoff Permanent,"2250 Hayes St, Ste 208  San Francisco CA"
,,,,,,94117
10/29/2021,11/05/2021,12/31/2021,"OrthoNorCal, Inc",Santa Clara County,12 Layoff Permanent,"900 Lafayette St, Ste 105  Santa Clara CA"
,,,,,,95050
10/29/2021,11/05/2021,12/31/2021,"OrthoNorCal, Inc",Santa Clara County,12 Layoff Permanent,"900 Lafayette St, Ste 105  Santa Clara CA"
,,,,,,95050
10/29/2021,11/05/2021,12/31/2021,"OrthoNorCal, Inc",Santa Cruz County,30 Layoff Permanent,"4140 Jade, Ste 100  Capitola CA 95010"
10/29/2021,11/05/2021,12/31/2021,"OrthoNorcal, Inc",Santa Cruz County,1 Layoff Permanent,1066 S. Green Valley Rd  Watsonville CA
,,,,,,95076
10/29/2021,11/05/2021,12/31/2021,"OrthoNorCal, Inc",Santa Cruz County,7 Layoff Permanent,"13540 41st St, Ste 100  Capitola CA 95010"
10/29/2021,11/08/2021,12/31/2021,Webster Orthopedics,Alameda County,24 Layoff Permanent,"4000 Dublin Blvd., Suite 100  Dublin CA"
,,,,,,94568
10/29/2021,11/08/2021,12/31/2021,Webster Orthopedics,Alameda County,24 Layoff Permanent,3315 Broadway  Oakland CA 94611
10/29/2021,11/08/2021,12/31/2021,Webster Orthopedics,Alameda County,7 Layoff Permanent,"3300 Webster Street, Suite 1201  Oakland"
,,,,,,CA 94609
10/29/2021,11/08/2021,12/31/2021,Webster Orthopedics,Contra Costa County,11 Layoff Permanent,"200 Porter Drive, Suite 101  San Ramon CA"
,,,,,,94583
10/29/2021,11/08/2021,12/31/2021,Webster Orthopedics,Contra Costa County,22 Layoff Permanent,"200 Porter Drive, Suite 215  San Ramon CA"
,,,,,,94583
10/29/2021,11/08/2021,12/31/2021,Webster Orthopedics,Contra Costa County,14 Layoff Permanent,"5801 Norris Canyon Road, Suite 210  San"
,,,,,,Ramon CA 94583
11/01/2021,11/08/2021,12/31/2021,"MV Transportation, Inc",Orange County,333 Layoff Permanent,16281 Construction Circle West  Irvine CA
,,,,,,92606
11/01/2021,11/09/2021,12/31/2021,Endo Pharmaceuticals,Orange County,98 Closure Permanent,9601 Jeronimo Road  Irvine CA 92618
11/01/2021,11/09/2021,12/31/2021,Endo Pharmaceuticals,Orange County,70 Closure Permanent,72 Fairbanks  Irvine CA 92618
11/04/2021,11/10/2021,11/02/2021,"Coverance Insurance Solutions, Inc.",Los Angeles County,258 Closure Permanent,"100 W. Broadway, Suite 3000  Long Beach"
,,,,,,CA 90802
