12/16/2021,12/16/2021.1,03/02/2022,Wyndham Hotels & Resorts dba La Quinta Redding with,Shasta County,18 Layoff Permanent,2180 Hilltop Drive  Redding CA 96002
,,,L.Q. Management LLC,,,
12/16/2021,12/20/2021,02/16/2022,"BMC West, LLC",Riverside County,304 Closure Permanent,"1800 Goetz Road, Unit B  Perris CA 92570"
12/16/2021,12/20/2021,02/28/2022,"Theravance Biopharma US, Inc",San Mateo County,38 Layoff Permanent,901 Gateway Boulevard  South San
,,,,,,Francisco CA 94080
12/16/2021,12/21/2021,02/15/2022,Wyndham Hotels & Resorts dba La Quinta Fremont with,Alameda County,13 Layoff Permanent,46200 Landing Parkway  Fremont CA 94538
,,,L.Q. Management,,,
12/16/2021,12/21/2021,02/15/2022,Wyndham Hotels & Resorts dba La Quinta Fresno with,Fresno County,20 Layoff Permanent,2926 Tulare  Fresno CA 93721
,,,L.Q. Management LLC,,,
12/16/2021,12/21/2021,03/02/2022,Wyndham Hotels & Resorts dba La Quinta Los Angeles-,Los Angeles County,61 Layoff Permanent,5249 West Century Blvd.  Los Angeles CA
,,,LAX Airport with L.Q. Management LLC,,,90045
12/16/2021,12/21/2021,03/02/2022,Wyndham Hotels & Resorts dba La Quinta Sacramento-,Sacramento County,20 Layoff Permanent,11131 Folsom Blvd.  Rancho Cordova CA
,,,Rancho Cordova with L.Q. Management LLC,,,95670
12/16/2021,12/21/2021,03/02/2022,Wyndham Hotels & Resorts dba La Quinta Sacramento-,Sacramento County,20 Layoff Permanent,200 Jibboom Street  Sacramento CA 95811
,,,Downtown with L.Q. Management LLC,,,
12/16/2021,12/21/2021,03/02/2022,Wyndham Hotels & Resorts dba La Quinta Ontario,San Bernardino County,25 Layoff Permanent,3555 Inland Empire Blvd.  Ontario CA 91764
,,,Airport with L.Q. Management LLC,,,
12/16/2021,12/21/2021,03/02/2022,Wyndham Hotels & Resorts dba La Quinta San Diego-,San Diego County,16 Layoff Permanent,10185 Paseo Montril  San Diego CA 92129
,,,Miramar with L.Q. Management LLC,,,
12/16/2021,12/21/2021,03/02/2022,Wyndham Hotels & Resorts dba La Quinta San Diego-,San Diego County,28 Layoff Permanent,150 Bonita Road  Chula Vista CA 91910
,,,Chula Vista with L.Q. Management LLC,,,
12/16/2021,12/21/2021,02/15/2022,Wyndham Hotels & Resorts dba La Quinta San Diego-,San Diego County,20 Layoff Permanent,630 Sycamore Avenue  Vista CA 92083
,,,Vista with L.Q. Management LLC,,,
12/16/2021,12/21/2021,03/02/2022,Wyndham Hotels & Resorts dba La Quinta San,San Mateo County,27 Layoff Permanent,20 Airport Blvd.  South San Francisco CA
,,,Francisco Airport North,,,94080
12/16/2021,12/21/2021,03/02/2022,Wyndham Hotels & Resorts dba La Quinta Thousand,Ventura County,19 Layoff Permanent,1320 Newbury Road  Thousand Oaks CA
,,,Oaks-Newbury Park with L.Q. Management LLC,,,91320
12/16/2021,12/21/2021,03/02/2022,Wyndham Hotels & Resorts dba La Quinta Ventura with,Ventura County,20 Layoff Permanent,5818 Valentine Road  Ventura CA 93003
,,,L.Q. Management LLC,,,
12/17/2021,12/23/2021,02/15/2022,"Med-Legal, LLC",Alameda County,6 Closure Permanent,26250 Industrial Blvd.  Hayward CA 94545
12/17/2021,12/23/2021,02/15/2022,"Med-Legal, LLC",Los Angeles County,113 Closure Permanent,955 Overland Ct. Suite 200  San Dimas CA
,,,,,,91773
12/17/2021,12/23/2021,02/15/2022,"Med-Legal, LLC",Los Angeles County,4 Closure Permanent,5455 Wilshire Blvd. Suite 2219  Los Angeles
,,,,,,CA 90036
12/17/2021,12/23/2021,02/15/2022,"Med-Legal, LLC",Los Angeles County,4 Closure Permanent,"225 E. Broadway, Suite 216D  Glendale CA"
,,,,,,91205
12/17/2021,12/23/2021,02/15/2022,"Med-Legal, LLC",Los Angeles County,4 Closure Permanent,4401 Atlantic Ave.  Long Beach CA 90807
