Unnamed: 0,Summary,Unnamed: 1,Unnamed: 2,Unnamed: 3,Employees,Permanent,Temporary,Not Identified,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Not Identified.1
,by Month,,Notices,,Affected,Layoff,Layoff,Layoff,,Permanent Closure,,Temporary Closure,,Closure
July 2021,,,,62.0,"2,330",42,1,,0.0,,16.0,3,,0
August 2021,,,,57.0,"4,780",17,1,,0.0,,38.0,1,,0
September 2021,,,,51.0,"3,360",21,0,,2.0,,25.0,2,,0
October 2021,,,,47.0,"3,609",20,8,,0.0,,19.0,0,,0
November 2021,,,,49.0,"3,919",28,2,,0.0,,19.0,0,,0
December 2021,,,,65.0,"3,487",27,2,,0.0,,36.0,0,,0
January 2022,,,,39.0,"2,653",17,1,,0.0,,20.0,1,,0
February 2022,,,,31.0,"1,251",21,0,,0.0,,10.0,0,,0
March 2022,,,,59.0,"4,266",35,1,,0.0,,22.0,1,,0
April 2022,,,,34.0,"2,669",14,1,,0.0,,19.0,0,,0
May 2022,,,,65.0,"2,838",46,0,,0.0,,19.0,0,,0
June 2022,,,,38.0,"2,509",12,13,,0.0,,13.0,0,,0
,,Total,,597.0,"37,671",300,30,,2.0,,256.0,8,,0
