08/19/2021,08/19/2021.1,10/17/2021,Wells Fargo & Company,San Francisco County,5 Layoff Permanent,333 Market Street  San Francisco CA 94103
08/19/2021,08/19/2021,10/17/2021,Wells Fargo & Company,San Francisco County,2 Layoff Permanent,550 California Street  San Francisco CA
,,,,,,94104
07/08/2021,08/19/2021,09/10/2021,Varni Brothers Corporation,San Joaquin County,50 Closure Permanent,1109 W. Anderson Street  Stockton CA
,,,,,,95206
07/08/2021,08/19/2021,09/10/2021,Varni Brothers Corporation,Stanislaus County,48 Closure Permanent,215 Hosmer Avenue  Modesto CA 95351
08/23/2021,08/24/2021,10/21/2021,Morrison Healthcare dba Morrison Management,Fresno County,14 Closure Permanent,7300 N. Fresno St.  Fresno CA 93720
,,,Specialists Inc. at Kaiser Permanente Fresno Medical,,,
,,,Cen,,,
08/17/2021,08/24/2021,10/19/2021,"Basic Energy Services, Inc.",Kern County,111 Closure Permanent,1954 James Road  Bakersfield CA 93308
08/17/2021,08/24/2021,10/19/2021,"Basic Energy Services, Inc.",Kern County,393 Closure Permanent,3752 Allen Road  Bakersfield CA 93314
08/17/2021,08/24/2021,10/19/2021,"Basic Energy Services, Inc.",Kern County,48 Closure Permanent,7515 Rosedale Highway  Bakersfield CA
,,,,,,93308
08/17/2021,08/24/2021,10/19/2021,"Basic Energy Services, Inc.",Kern County,216 Closure Permanent,1025 Earthmover Court  Bakersfield CA
,,,,,,93314
08/17/2021,08/24/2021,10/19/2021,"Basic Energy Services, Inc.",Los Angeles County,98 Closure Permanent,19431 South Sante Fe Avenue  Compton
,,,,,,CA 90221
08/04/2021,08/24/2021,01/01/2022,Endo Pharmaceuticals Inc.,Orange County,99 Closure Permanent,9601 Jeronimo Road  Irvine CA 92618
08/04/2021,08/24/2021,01/01/2022,Endo Pharmaceuticals Inc.,Orange County,75 Closure Permanent,72 Fairbanks  Irvine CA 92618
08/13/2021,08/24/2021,09/30/2021,GEO Secure Services LLC Western Region Detention,San Diego County,298 Closure Permanent,220 West C Street  San Diego CA 92101
,,,Facility,,,
08/13/2021,08/24/2021,09/30/2021,"Bristol-Myers Squibb and MyoKardia, Inc",San Mateo County,14 Layoff Permanent,1000 Sierra Point Pkwy  Brisbane CA 94005
08/25/2021,08/26/2021,11/01/2021,Howmet Fastening Systems,Los Angeles County,75 Closure Permanent,12975 Bradley Avenue  Sylmar CA 91342
08/26/2021,08/30/2021,10/25/2021,"ESL Technologies, Inc. dba Teleplan",Placer County,308 Layoff Permanent,"8875 Washington Blvd., Suite B  Roseville"
,,,,,,CA 95678
08/27/2021,08/30/2021,10/25/2021,Wells Fargo,San Francisco County,1 Layoff Permanent,420 Montgomery Street  San Francisco CA
,,,,,,94104
08/30/2021,08/30/2021,10/20/2021,Bristol-Myers Squibb and MyoKardia Inc.,San Mateo County,5 Layoff Permanent,1000 Sierra Point Pkwy  Brisbane CA 94005
08/27/2021,08/31/2021,10/31/2021,State Farm Mutual Automobile Insurance Company,Kern County,230 Closure Permanent,900 Old River Road Suite 400 Bakersfield
,,,,,,Operations Center Bakersfield CA 93311
08/29/2021,08/31/2021,10/30/2021,Best Buy,Los Angeles County,50 Closure Permanent,740 S. Pacific Coast Hwy  El Segundo CA
,,,,,,90245
