Notice,Received,Effective,Unnamed: 0,Unnamed: 1,Unnamed: 2,No. Of Layoff/Closure,Unnamed: 3,Unnamed: 4
Date,Date,Date,,Company,County,Employees Type,,Address
06/15/2022,07/08/2022,12/02/2022,Amgen,,Alameda County,2 Closure Permanent,,7999 Gateway Blvd #320  Newark CA 94560
06/24/2022,07/08/2022,08/21/2022,"Assembled Financial Technology, LLC",,Los Angeles County,13 Closure Permanent,,"9000 Sunset Boulevard, Suite 1010  West Hollywood CA"
,,,,,,,,90069
06/23/2022,07/08/2022,08/23/2022,Cue Health Inc.,,San Diego County,9 Layoff Permanent,,6225 Nancy Ridge Dr.  San Diego CA 92121
06/23/2022,07/08/2022,08/23/2022,Cue Health Inc.,,San Diego County,123 Layoff Permanent,,"2620 Commerce Way, Suite A/B  Vista CA 92081"
06/23/2022,07/08/2022,08/23/2022,Cue Health,,San Diego County,37 Layoff Permanent,,9877 Waples St.  San Diego CA 92121
06/15/2022,07/11/2022,08/11/2022,PAE Shared Services LLC dba Amentum,,Los Angeles County,37 Layoff Permanent,,San Clemente Island  Los Angeles CA 90731
06/27/2022,07/11/2022,08/26/2022,"DailyLook, Inc.",,Los Angeles County,80 Layoff Permanent,,"2445 E. 12th Street, Unit B  Los Angeles CA 90021"
06/29/2022,07/11/2022,08/27/2022,"Tesla, Inc.",,San Mateo County,229 Closure Permanent,,3055 Clearview Way  San Mateo CA 94402
07/01/2022,07/11/2022,07/24/2022,"ABM Industry Groups, LLC dba Meta",,San Mateo County,368 Layoff Permanent,,1 Hacker Way  Menlo Park CA 94025
06/27/2022,07/11/2022,08/26/2022,AppLovin Corporation,,Santa Clara County,62 Layoff Permanent,,1100 Page Mill Road  Palo Alto CA 94304
06/15/2022,07/11/2022,08/11/2022,PAE Shared Services LLC dba Amentum,,San Diego County,25 Layoff Permanent,,Naval Base Point Loma 4045 Hancock St  San Diego CA
,,,,,,,,92110
06/15/2022,07/11/2022,08/11/2022,PAE Shared Services LLC dba Amentum,,San Diego County,68 Layoff Permanent,,NAS North Island  San Diego CA 92135
06/29/2022,07/11/2022,08/28/2022,"Heron Therapeutics, Inc.",,San Diego County,77 Layoff Permanent,,"4242 Campus Point Court, Suite 200  San Diego CA 92121"
06/27/2022,07/12/2022,08/27/2022,"Tesla, Inc.",,Alameda County,20 Layoff Permanent,,901 Page Avenue  Fremont CA 94538
06/27/2022,07/12/2022,08/27/2022,"Tesla, Inc.",,Alameda County,5 Layoff Permanent,,47700 Kato Road  Fremont CA 94538
06/27/2022,07/12/2022,08/27/2022,"Tesla, Inc.",,Alameda County,2 Layoff Permanent,,47400 Kato Road  Fremotn CA 94538
06/27/2022,07/12/2022,08/27/2022,"Tesla, Inc.",,Alameda County,1 Layoff Permanent,,45201 Fremont Blvd.  Fremont CA 94538
06/27/2022,07/12/2022,08/27/2022,"Tesla, Inc.",,Alameda County,41 Layoff Permanent,,45500 Fremont Blvd.  Fremont CA 94538
07/01/2022,07/12/2022,08/31/2022,"JSL Transport, LLC",,Kern County,4 Closure Permanent,,3000 Sillect Avenue  Bakersfield CA 93308
06/20/2022,07/12/2022,12/31/2022,"R.A. Phillips Industries, Inc.",,Los Angeles County,211 Layoff Permanent,,12070 Burke St  Santa Fe Springs CA 90670
07/01/2022,07/12/2022,08/31/2022,"JSL Transport, LLC",,Los Angeles County,10 Closure Permanent,,10371 Culver Blvd.  Culver City CA 90232
07/01/2022,07/12/2022,08/31/2022,"JSL Transport, LLC",,Los Angeles County,1 Closure Permanent,,430 S. Cataract Avenue  San Dimas CA 91773
06/30/2022,07/12/2022,08/29/2022,PACT Pharma,,San Mateo County,94 Layoff Permanent,,2 Corporate Dr.  South San Francisco CA 94080
07/01/2022,07/12/2022,08/31/2022,"JSL Transport, LLC",,Orange County,9 Closure Permanent,,7231 Garden Grove Blvd. Suite K  Garden Grove CA 92841
07/01/2022,07/12/2022,08/31/2022,"JSL Transport, LLC",,Orange County,6 Closure Permanent,,2700 Medical Center Road  Mission Viejo CA 92691
07/01/2022,07/12/2022,08/31/2022,"JSL Transport, LLC",,Sacramento County,18 Closure Permanent,,2315 Stockton Blvd.  Sacramento CA 95817
07/01/2022,07/13/2022,08/31/2022,"JSL Transport, LLC",,Los Angeles County,76 Closure Permanent,,14250 Arminta Street  Panorama City CA 91402
07/01/2022,07/13/2022,08/31/2022,"JSL Transport, LLC",,Los Angeles County,1 Closure Permanent,,7300 Medical Center Drive  West Hills CA 91307
07/01/2022,07/13/2022,08/31/2022,"JSL Transport, LLC",,Stanislaus County,27 Closure Permanent,,4301 N. Star Way  Modesto CA 95356
07/01/2022,07/13/2022,08/31/2022,"JSL Transport, LLC",,Los Angeles County,2 Closure Permanent,,"621 Ruberta, Unit 2  Glendale CA 91201"
07/05/2022,07/14/2022,08/15/2022,First Student,,Los Angeles County,54 Layoff Permanent,,1600 Lincoln Ave.  Pasadena CA 91103
