11/03/2022,11/09/2022,01/14/2023,Schneider Electric,Fresno County,2 Closure Permanent,"200 W. Pontiac Way, Bldg 5  Clovis CA 93612"
11/04/2022,11/09/2022,11/04/2022,"Better Holdco, Inc.",Alameda County,13 Closure Permanent,"2201 Broadway, 2nd Floor  Oakland CA 94612"
11/04/2022,11/09/2022,11/04/2022,"Better Holdco, Inc.",Orange County,33 Layoff Permanent,"5 Park Plaza, Suite No. 700 and 800  Irvine CA 92614"
11/04/2022,11/09/2022,01/04/2023,Amazon,Orange County,53 Layoff Permanent,17871 Von Karman Ave  Irvine CA 92614
11/03/2022,11/09/2022,11/11/2022,"Lyft, Inc.",San Francisco County,227 Layoff Permanent,185 Berry St #5000  San Francisco CA 94107
11/04/2022,11/09/2022,01/03/2023,"Nationstar Mortgage, LLC d/b/a Mr. Cooper",Orange County,175 Layoff Permanent,1600 E. St. Andrew Place  Santa Ana CA 92705
11/07/2022,11/10/2022,12/07/2022,Seagate US LLC,Alameda County,4 Layoff Permanent,47488 Kato Road  Fremont CA 94538
11/07/2022,11/10/2022,01/09/2023,Seagate US LLC,Alameda County,80 Layoff Permanent,47488 Kato Road  Fremont CA 94538
11/04/2022,11/10/2022,01/03/2023,Curative Inc.,Los Angeles County,57 Layoff Permanent,605 E. Huntington Drive  Monrovia CA 91016
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,7 Closure Permanent,21730 Ventura Blvd  Woodland Hills CA 91364
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,2 Closure Permanent,3201 W. 6th St  Los Angeles CA 90020
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,1 Closure Permanent,3724 Crenshaw Blvd  Los Angeles CA 90016
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,1 Closure Permanent,17010 Chatsworth St  Granada Hills CA 91344
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,4 Closure Permanent,11795 W Olympic Blvd  Los Angeles CA 90064
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,6 Closure Permanent,10174 Mason Ave  Chatsworth CA 91311
10/31/2022,11/10/2022,12/30/2022,Curative Inc.,Los Angeles County,47 Closure Permanent,430 S. Cataract Avenue  San Dimas CA 91773
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,2 Closure Permanent,1911 Lincoln Blvd  Santa Monica CA 90405
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,2 Closure Permanent,"11900 South St, Ste 118  Cerritos CA 90703"
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,13 Closure Permanent,20054 Hawthorne Blvd.  Torrance CA 90503
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,2 Closure Permanent,331 N. Sepulveda Blvd  El Segundo CA 90245
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,3 Closure Permanent,1344 W Redondo Beach Blvd  Gardena CA 90247
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,4 Closure Permanent,2321 Hawthorne Blvd  Redondo Beach CA 90278
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,2 Closure Permanent,4142 Pacific Coast Hwy  Torrance CA 90505
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,3 Closure Permanent,1028 S San Fernando Blvd  Burbank CA 91502
11/01/2022,11/10/2022,01/03/2023,Providence ExpressCare California,Los Angeles County,2 Closure Permanent,105 E Glenoaks Blvd  Glendale CA 91207
11/04/2022,11/14/2022,01/03/2023,"Athas Capital Group, Inc.",Los Angeles County,23 Layoff Permanent,555 West 5th Street  Los Angeles CA 90013
11/04/2022,11/14/2022,01/03/2023,"Athas Capital Group, Inc.",Los Angeles County,159 Layoff Permanent,27001 and 26901 Agoura Road  Agoura Hills CA 91301
11/04/2022,11/14/2022,11/04/2022,"Natera, Inc.",San Mateo County,58 Layoff Permanent,201 Industrial Road  San Carlos CA 94070
11/04/2022,11/14/2022,01/03/2023,"Athas Capital Group, Inc.",Orange County,29 Layoff Permanent,18191 Von Karman Avenue  Irvine CA 92612
11/11/2022,11/16/2022,01/13/2023,"Meta Platforms, Inc.",Los Angeles County,162 Layoff Permanent,12105 E Waterfront Dr.  Los Angeles CA 90094
09/22/2022,11/16/2022,11/18/2022,"Smithfield Distribution, LLC",Los Angeles County,"1,755 Closure Permanent",3163 E. Vernon Avenue  Vernon CA 90058
09/22/2022,11/16/2022,11/18/2022,"Smithfield Distribution, LLC",Los Angeles County,121 Closure Permanent,3049 E. Vernon Ave.  Vernon CA 90058
11/11/2022,11/16/2022,01/13/2023,"Meta Platforms, Inc.",San Francisco County,362 Layoff Permanent,250 Howard St.  San Francisco CA 94105
