01/20/2023,01/20/2023.1,03/21/2023,"Crest Beverage, L.L.C.",San Diego County,372 Closure Permanent,8870 Liquid Ct.  San Diego CA 92121
01/18/2023,01/20/2023,03/19/2023,Amazon,San Francisco County,1 Layoff Permanent,200 Paul Ave #402  San Francisco CA 94124
01/18/2023,01/20/2023,03/19/2023,Amazon,San Francisco County,20 Layoff Permanent,475 Sansome St 10th floor  San Francisco CA 94111
01/18/2023,01/20/2023,03/19/2023,Amazon,San Francisco County,63 Layoff Permanent,188 Spear St 2nd Floor  San Francisco CA 94105
01/18/2023,01/20/2023,03/19/2023,Amazon,San Francisco County,20 Layoff Permanent,525 Market St  San Francisco CA 94105
01/18/2023,01/20/2023,03/20/2023,"8x8, Inc.",Santa Clara County,61 Layoff Permanent,675 Creekside Way  Campbell CA 95008
01/17/2023,01/20/2023,01/16/2023,EMCA Staff LLC/ACME Labor LLC,Santa Barbara County,2 Layoff Permanent,133 E De La Guerra St  Santa Barbara CA 93101
01/20/2023,01/23/2023,03/31/2023,Google LA 5,Los Angeles County,22 Layoff Permanent,350 Main Street US-LAX-BIN2 Los Angeles CA 90291
01/20/2023,01/23/2023,03/31/2023,Google LA 5,Los Angeles County,6 Layoff Permanent,321 Hampton Drive US-LAX-BIN3 Los Angeles CA 90291
01/20/2023,01/23/2023,03/31/2023,Google LA 2,Los Angeles County,2 Layoff Permanent,300 Rose Avenue US-LAX-BIN4 Los Angeles CA 90291
01/20/2023,01/23/2023,03/31/2023,Google LA 3,Los Angeles County,4 Layoff Permanent,320 Hampton Drive US-LAX-BIN5 Los Angeles CA 90291
01/20/2023,01/23/2023,03/31/2023,Google LA 1,Los Angeles County,5 Layoff Permanent,248 Main Street US-LAX-BIN7 Los Angeles CA 90291
01/20/2023,01/23/2023,03/31/2023,Google Playa 2,Los Angeles County,123 Layoff Permanent,5865 Campus Center Drive US-PLV-H15 Playa Vista CA
,,,,,,90094
01/20/2023,01/23/2023,03/31/2023,Google Playa 1,Los Angeles County,1 Layoff Permanent,12422 West Bluff Creek Drive US-PLV-H17 Playa Vista CA
,,,,,,90094
01/20/2023,01/23/2023,03/31/2023,Google,San Mateo County,20 Layoff Permanent,1100 Grundy Lane  San Bruno CA 94066
01/20/2023,01/23/2023,03/31/2023,Google,San Mateo County,31 Layoff Permanent,900 Cherry Avenue  San Bruno CA 94066
01/20/2023,01/23/2023,03/31/2023,Google,San Mateo County,40 Layoff Permanent,901 Cherry Avenue  San Bruno CA 94066
01/20/2023,01/23/2023,03/31/2023,Google,San Mateo County,24 Layoff Permanent,999-1001 Bayhill Dr.  San Bruno CA 94066
01/20/2023,01/23/2023,03/31/2023,Google,Santa Clara County,50 Layoff Permanent,3400 Hillview Avenue US-PAO-HV1 Palo Alto CA 94304
01/20/2023,01/23/2023,03/31/2023,Google,Santa Clara County,2 Layoff Permanent,4005 Miranda Avenue US-PAO-MIR2 Palo Alto CA 94304
12/28/2022,01/23/2023,02/28/2023,Bon Appetit,Santa Clara County,45 Layoff Permanent,170 State Street  Los Altos CA 94022
01/20/2023,01/23/2023,03/31/2023,Google,Santa Clara County,62 Layoff Permanent,100 Bay View Drive  Moffet Field CA 94035
01/20/2023,01/23/2023,03/31/2023,Google,Santa Clara County,41 Layoff Permanent,200 Bay View Drive  Moffett Field CA 94035
01/20/2023,01/23/2023,03/31/2023,Google,Santa Clara County,30 Layoff Permanent,1015 Joaquin Road  Mountain View CA 94043
01/20/2023,01/23/2023,03/31/2023,Google,Santa Clara County,6 Layoff Permanent,1055 Joaquin Road  Mountain View CA 94043
01/20/2023,01/23/2023,03/31/2023,Google,Santa Clara County,18 Layoff Permanent,1098 Alta Avenue  Mountain View CA 94043
01/20/2023,01/23/2023,03/31/2023,Google,Santa Clara County,5 Layoff Permanent,1161 San Antonio Road  Mountain View CA 94043
01/20/2023,01/23/2023,03/31/2023,Google,Santa Clara County,17 Layoff Permanent,1200 Charleston Road  Mountain View CA 94043
01/20/2023,01/23/2023,03/31/2023,Google,Orange County,32 Layoff Permanent,19520 Jamboree Road  Irvine CA 92612
12/19/2022,01/23/2023,02/18/2023,Hazel Hawkins Hospital,San Benito County,432 Closure Permanent,911 Sunset Drive  Hollister CA 95023
12/19/2022,01/23/2023,02/18/2023,Hazel Hawkins Physical Therapy & Rehabilitation,San Benito County,11 Closure Permanent,961-A Sunset Drive  Hollister CA 95023
,,,Service,,,
12/19/2022,01/23/2023,02/18/2023,Hazel Hawkins Community Health Center at San Juan,San Benito County,5 Closure Permanent,"301 The Alameda Space B-3 San Juan Bautista, CA 95045"
,,,Bautista,,,San Juan Bautista CA 95045
12/19/2022,01/23/2023,02/18/2023,Barragan Family Diabetes Center,San Benito County,10 Closure Permanent,930 Sunnyslope Road A-2 Hollister CA 95023
