04/18/2023,04/28/2023,04/18/2023.1,Wells Fargo,San Francisco County,3 Layoff Permanent,550 California Street  San Francisco CA 94105
04/17/2023,04/28/2023,06/16/2023,Nektar Therapeutics,San Francisco County,72 Layoff Permanent,455 Mission Bay Boulevard South  San Francisco CA 94158
04/14/2023,05/01/2023,05/19/2023,Alto Systems,Riverside County,4 Layoff Permanent,11455 B Cantu Galleano Ranch Road  Mira Loma CA 91752
04/26/2023,05/02/2023,06/11/2023,Beverly Hospital,Los Angeles County,54 Closure Temporary,309 W. Beverly Blvd.  Montebello CA 90640
04/26/2023,05/02/2023,06/11/2023,Beverly Hospital,Los Angeles County,5 Closure Permanent,301 W. Beverly Blvd.  Montebello CA 90640
04/26/2023,05/02/2023,06/13/2023,Beverly Hospital,Los Angeles County,9 Closure Permanent,413 Poplar Avenue  Montebello CA 90640
04/20/2023,05/02/2023,05/05/2023,Cedars-Sinai Medical Center,Los Angeles County,124 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,06/01/2023,Cedars-Sinai Medical Center,Los Angeles County,1 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,06/02/2023,Cedars-Sinai Medical Center,Los Angeles County,1 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,02/03/2023,Cedars-Sinai Medical Center,Los Angeles County,3 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,03/31/2023,Cedars-Sinai Medical Center,Los Angeles County,1 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,01/06/2023,Cedars-Sinai Medical Center,Los Angeles County,1 Layoff Permanent,8700 Beverly Blve  Los Angeles CA 90048
04/20/2023,05/02/2023,04/03/2023,Cedars-Sinai Medical Center,Los Angeles County,1 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,06/30/2023,Cedars-Sinai Medical Center,Los Angeles County,2 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,04/20/2023,Cedars-Sinai Medical Center,Los Angeles County,2 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,03/02/2023,Cedars-Sinai Medical Center,Los Angeles County,1 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,03/25/2023,Cedars-Sinai Medical Center,Los Angeles County,1 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,03/09/2023,Cedars-Sinai Medical Center,Los Angeles County,3 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,01/09/2023,Cedars-Sinai Medical Center,Los Angeles County,1 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,01/13/2023,Cedars-Sinai Medical Center,Los Angeles County,1 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,03/20/2023,Cedars-Sinai Medical Center,Los Angeles County,1 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/20/2023,05/02/2023,01/03/2023,Cedars-Sinai Medical Center,Los Angeles County,1 Layoff Permanent,8700 Beverly Blvd  Los Angeles CA 90048
04/24/2023,05/02/2023,06/26/2023,Wetmore Tool and Engineering Company,San Bernardino County,102 Closure Permanent,5091 G Street  Chino CA 91710
04/21/2023,05/03/2023,06/20/2023,Zymergen Inc,Alameda County,27 Layoff Permanent,5300 Chiron Way  Emeryville CA 94608
04/21/2023,05/03/2023,06/08/2023,"Barton Brands of California, Inc.",Los Angeles County,50 Closure Permanent,2202 E. Del Amo Blvd.  Compton CA 90220
01/09/2023,05/03/2023,03/13/2023,"Cloud Software Group, Inc.",Santa Clara County,96 Layoff Permanent,4988 Greta America Parkway  Santa Clara CA 95054
04/14/2023,05/03/2023,06/09/2023,TeamOne,Riverside County,174 Closure Permanent,3350 N Redlands Ave  Perris CA 92571
04/14/2023,05/03/2023,06/30/2023,Sacramento Self Help Housing,Sacramento County,168 Closure Permanent,1010 Hurley Way. Suite 500  Sacramento CA 95825
04/24/2023,05/04/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,44 Layoff Permanent,BUR0101: 333 Airport Blvd  Burlingame CA 94010
04/24/2023,05/04/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,27 Layoff Permanent,BUR0102: 322 Airport Blvd  Burlingame CA 94010
04/24/2023,05/04/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,40 Layoff Permanent,BUR0103: 312 Airport Blvd  Burlingame CA 94010
04/24/2023,05/04/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,41 Layoff Permanent,BUR0105: 311 Airport Blvde  Burlingame CA 94010
04/20/2023,05/05/2023,06/20/2023,Accenture,Alameda County,148 Layoff Permanent,34770 Campus Drive  Fremont CA 94555
