04/25/2023,05/05/2023,07/01/2023,Waste Management,Los Angeles County,78 Layoff Permanent,25772 Springbrook Ave.  Santa Clarita CA 91350
04/14/2023,05/05/2023,05/31/2023,Intel Corporation,Santa Clara County,57 Layoff Permanent,2200 Mission College Blvd  Santa Clara CA 95054
04/25/2023,05/05/2023,06/16/2023,"CJ Logistics America, LLC",San Bernardino County,92 Closure Permanent,5690A Industrial Parkway  San Bernardino CA 92407
04/25/2023,05/05/2023,06/24/2023,"Jenny Craig (JC) USA, Inc.",San Diego County,146 Closure Permanent,5770 Fleet Street  Carlsbad CA 92008
04/25/2023,05/05/2023,06/16/2023,"CJ Logistics America, LLC",San Joaquin County,48 Closure Permanent,6140 Promontory Parkway  Tracy CA 95377
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",Alameda County,2 Layoff Permanent,FRE0001: 6540 Kaiser Drive  Fremont CA 94555
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",Alameda County,18 Layoff Permanent,FRE0116: 6623 Dumbarton Cir  Fremont CA 94555
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",Alameda County,34 Layoff Permanent,FRE0117: 6611 Dumbarton Cir  Fremont CA 94555
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",Alameda County,26 Layoff Permanent,FRE0118: 6591 Dumbarton Cir  Fremont CA 94555
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",Alameda County,12 Layoff Permanent,FRE0119: 6520 Kaiser Drive  Fremont CA 94555
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",Alameda County,41 Layoff Permanent,FRE0122: 6539 Dumbarton Cir  Fremont CA 94555
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",Alameda County,3 Layoff Permanent,FRE0126: 6750 Dumbarton Circle  Fremont CA 94555
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",Alameda County,4 Layoff Permanent,FRE6500: 6500 Paseo Padre Pkwy  Fremont CA 94555
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",Alameda County,3 Layoff Permanent,FRE6530: 6530 Paseo Padre Pkwy  Fremont CA 94555
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,3 Layoff Permanent,MPK0001: 1 Hacker Way  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,6 Layoff Permanent,MPK0010: 10 Hacker Way  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,39 Layoff Permanent,MPK0012: 12 Hacker Way  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,57 Layoff Permanent,MPK0014: 14 Hacker Way  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,70 Layoff Permanent,MPK0016: 16 Hacker Way  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,79 Layoff Permanent,MPK0017: 17 Hacker Way  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,25 Layoff Permanent,MPK0018: 18 Hacker Way  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,114 Layoff Permanent,MPK0020: Meta Wy  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,91 Layoff Permanent,MPK0021: Meta Wy  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,118 Layoff Permanent,MPK0022: 305 Constitution Dr  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,30 Layoff Permanent,MPK0023: 300 Constitution Dr  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,32 Layoff Permanent,MPK0024: 200 Jefferson Dr  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,15 Layoff Permanent,MPK0026: 180 Jefferson Dr  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,57 Layoff Permanent,MPK0028: 164 Jefferson Dr  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,35 Layoff Permanent,MPK0029: 220 Jefferson Dr  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,42 Layoff Permanent,MPK0062: 105 Constitution Dr  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",San Mateo County,53 Layoff Permanent,MPK0063: 135 Constitution Dr  Menlo Park CA 94025
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",Santa Clara County,63 Layoff Permanent,SUN0101: 1190 Discovery Wy  Sunnyvale CA 94089
04/24/2023,05/08/2023,06/23/2023,"Meta Platforms, Inc.",Santa Clara County,17 Layoff Permanent,SUN0102: 1180 Discovery Wy  Sunnyvale CA 94089
