Notice,Received,Effective,Unnamed: 0,Unnamed: 1,No. Of Layoff/Closure,Unnamed: 2,Unnamed: 3
Date,Date,Date,Company,County,Employees Type,,Address
04/25/2023,07/03/2023,09/02/2023,"David&rsquo;s Bridal, LLC",Contra Costa County,29 Layoff Permanent,,1212 Fitzgerald Dr  Pinole CA 94564
04/25/2023,07/03/2023,09/02/2023,"David&rsquo;s Bridal, LLC",Fresno County,31 Layoff Permanent,,455 E Shaw Ave  Fresno CA 93710
04/25/2023,07/03/2023,09/02/2023,"David&rsquo;s Bridal, LLC",Placer County,47 Layoff Permanent,,1140 Galleria Blvd  Roseville CA 95678
04/25/2023,07/03/2023,09/02/2023,"David&rsquo;s Bridal, LLC",San Diego County,29 Layoff Permanent,,9820 Mission Gorge Rd  Santee CA 92071
04/25/2023,07/03/2023,09/02/2023,"David&rsquo;s Bridal, LLC",San Diego County,35 Layoff Permanent,,980 Camino De La Reina Ste A  San Diego CA 92108
04/25/2023,07/03/2023,09/02/2023,"David&rsquo;s Bridal, LLC",Los Angeles County,35 Layoff Permanent,,2050 Empire Ave  Burbank CA 91504
04/25/2023,07/05/2023,09/02/2023,"David&rsquo;s Bridal, LLC",Kern County,27 Layoff Permanent,,1210 Wible Rd  Bakersfield CA 93304
06/07/2023,07/05/2023,08/07/2023,Rico Corp. dba D'Addario Woodwinds,Los Angeles County,1 Closure Permanent,,8484 San Fernando Road  Sun Valley CA 91352
04/25/2023,07/05/2023,09/02/2023,"David's Bridal, LLC",Butte County,18 Layoff Permanent,,1515 Springfield Drive Suite 100  Chico CA 95928
04/25/2023,07/05/2023,09/02/2023,"David's Bridal, LLC",Riverside County,27 Layoff Permanent,,10325 Magnolia Ave  Riverside CA 92505
04/25/2023,07/05/2023,09/02/2023,"David's Bridal, LLC",Riverside County,34 Layoff Permanent,,24430 Village Walk Pl  Murrieta CA 92562
04/25/2023,07/05/2023,09/02/2023,"David's Bridal, LLC",Sacramento County,46 Layoff Permanent,,1892 Arden Way  Sacramento CA 95815
04/25/2023,07/05/2023,09/02/2023,"David&rsquo;s Bridal, LLC",Santa Clara County,38 Layoff Permanent,,3111 Stevens Creek  San Jose CA 95117
04/25/2023,07/05/2023,09/02/2023,"David's Bridal, LLC",Stanislaus County,40 Layoff Permanent,,2225 Plaza Pkwy Ste J-3  Modesto CA 95350
06/07/2023,07/05/2023,08/07/2023,Nestle USA,Stanislaus County,75 Layoff Temporary,,736 Garner Road  Modesto CA 95357
06/07/2023,07/06/2023,08/04/2023,"Sodexo, Inc. and Affiliates at Beverly Hospital",Los Angeles County,68 Layoff Permanent,,309 W. Beverly Blvd  Montebello CA 90640
06/06/2023,07/06/2023,06/06/2023,Primary Health,San Francisco County,60 Layoff Permanent,,595 Pacific Avenue Floor 4  San Francisco CA 94133
06/07/2023,07/06/2023,08/14/2023,Los Angeles Times Communications LLC,Los Angeles County,57 Layoff Permanent,,2300 E. Imperial Highway  El Segundo CA 90245
06/07/2023,07/06/2023,08/14/2023,Los Angeles Times Communications LLC,Los Angeles County,15 Layoff Permanent,,2300 E. Imperial Highway  El Segundo CA 90245
06/09/2023,07/07/2023,08/15/2023,HMSHost,Fresno County,69 Closure Permanent,,5175 E Clinton Way  Fresno CA 93727
06/05/2023,07/07/2023,08/04/2023,Microsoft,Santa Clara County,2 Layoff Permanent,,1045 La Avenida  Mountain View CA 94043
07/07/2023,07/10/2023,09/08/2023,Rico Corp. dba D'Addario Woodwinds,Los Angeles County,4 Layoff Permanent,,8484 San Fernando Road  Sun Valley CA 91352
06/12/2023,07/10/2023,08/12/2023,Henry Mayo Newhall Hospital,Los Angeles County,107 Layoff Permanent,,23845 McBean Parkway  Valencia CA 91355
06/07/2023,07/10/2023,06/08/2023,"Sumo Logic, Inc.",San Mateo County,79 Layoff Permanent,,"855 Main St., Suite 100  Redwood City CA 94063"
06/13/2023,07/10/2023,06/30/2023,Monte Nido & Affiliates,Orange County,6 Closure Permanent,,"2 Corporate Plaza Drive, Suite 200  Newport Beach CA 92660"
06/12/2023,07/10/2023,07/29/2023,La Tortilla Factory,San Diego County,5 Closure Permanent,,"2575 Pioneer Ave., Ste 107  Vista CA 92081"
06/05/2023,07/11/2023,05/31/2023,Intel Corporation,Santa Clara County,78 Layoff Permanent,,2200 Mission College Blvd.  Santa Clara CA 95054
