09/06/2023,10/11/2023,11/15/2023,"Newark Group, Inc.",Santa Clara County,74 Closure Permanent,525 Mathew Street  Santa Clara CA 95050
09/06/2023,10/11/2023,11/06/2023,"ChargePoint, Inc.",Santa Clara County,79 Layoff Permanent,240 E. Hacienda Avenue  Campbell CA 95008
09/06/2023,10/13/2023,11/01/2023,Zymergen Inc.,Alameda County,7 Layoff Permanent,5300 Chiron Way  Emeryville CA 94608
09/11/2023,10/13/2023,11/10/2023,Jabil Inc.,Alameda County,140 Layoff Permanent,4050 Technology Place  Fremont CA 94538
09/06/2023,10/13/2023,11/03/2023,Safeway,Santa Clara County,38 Closure Permanent,3071 Stevens Creek Blvd.  Santa Clara CA 95050
09/19/2023,10/13/2023,12/25/2023,Jabil Inc.,San Joaquin County,51 Closure Temporary,550 Carnegie Street  Manteca CA 95337
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Alameda County,1 Layoff Permanent,1080 Monroe St Ste 120  Albany CA 94706
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Alameda County,1 Layoff Permanent,2671 Blanding Ave Ste A&B  Alameda CA 94501
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Alameda County,5 Layoff Permanent,2690 5th St Suite B  Alameda CA 94501
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Alameda County,1 Layoff Permanent,2920 Telegraph Ave Suite 100  Berkeley CA 94705
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Alameda County,1 Layoff Permanent,411 Grand Ave  Oakland CA 94610
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Orange County,1 Layoff Permanent,751 S Weir Canyon Rd #165  Anaheim CA 92808
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Orange County,4 Layoff Permanent,858 N. Rose Dr  Placentia CA 92807
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Contra Costa County,1 Layoff Permanent,1125 Arnold Dr.  Martinez CA 94553
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Contra Costa County,1 Layoff Permanent,5434 Ygnacio Valley  Concord CA 94521
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Contra Costa County,4 Layoff Permanent,5829 Lone Tree Way Ste D110  Antioch CA 94531
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Los Angeles County,4 Layoff Permanent,600 E Colorado Blvd #120  Pasadena CA 91101
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Placer County,2 Layoff Permanent,701 Sunrise Ave  Roseville CA 95661
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Los Angeles County,1 Layoff Permanent,13365 Washington Boulevard  Culver City CA 90066
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Los Angeles County,2 Layoff Permanent,2110 Sunset Blvd Suite M  Los Angeles CA 90026
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Los Angeles County,4 Layoff Permanent,21835 Ventura Boulevard Suite 21837  Woodland Hills CA 91364
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Los Angeles County,2 Layoff Permanent,4550 Van Nuys Boulevard Suite A4 & A5  Sherman Oaks CA 91403
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Los Angeles County,1 Layoff Permanent,4700 West Pico Boulevard Suite G-H  Los Angeles CA 90019
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Los Angeles County,3 Layoff Permanent,11806 Whittier Blvd Suites A&B  Whittier CA 90601
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Los Angeles County,3 Layoff Permanent,3032 Wilshire Blvd Suite A  Santa Monica CA 90403
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Los Angeles County,3 Layoff Permanent,3851 Katella Ave  Los Alamitos CA 90270
08/10/2023,10/16/2023,10/09/2023,Carbon Health,Los Angeles County,5 Layoff Permanent,8900 Venice Boulevard Unit 109  Culver City CA 90232
08/02/2023,10/17/2023,10/02/2023,Sunrun Inc.,Fresno County,31 Layoff Permanent,4507 N. Selland Avenue  Fresno CA 93725
