09/25/2023,10/30/2023,01/03/2024,Terre du Soleil dba Auberge du Soleil,Napa County,217 Layoff Temporary,180 Rutherford Hill Road  Rutherford CA 94573
10/02/2023,11/01/2023,10/02/2023,PhenomeX Inc.,Alameda County,46 Layoff Permanent,"5980 Horton St., Second Floor  Emeryville CA 94608"
10/03/2023,11/01/2023,10/03/2023,Bloom Energy Corporation,Alameda County,6 Layoff Permanent,44408 Pacific Commons  Fremont CA 94538
10/03/2023,11/01/2023,10/03/2023,Bloom Energy Corporation,Alameda County,1 Layoff Permanent,44370 Christy Street  Fremont CA 94538
09/28/2023,11/01/2023,12/31/2023,Hallcon Corporation,Santa Clara County,65 Layoff Permanent,1000 Enterprise Way  Sunnyvale CA 94089
10/03/2023,11/01/2023,10/03/2023,Bloom Energy Corporation,Santa Clara County,8 Layoff Permanent,1252 Orleans Drive  Sunnyvale CA 94089
10/03/2023,11/01/2023,10/03/2023,Bloom Energy Corporation,Santa Clara County,3 Layoff Permanent,217 Humboldt Court  Sunnyvale CA 94089
09/28/2023,11/01/2023,09/29/2023,"Kuubix Global, LLC",Riverside County,7 Closure Permanent,580 Chaney Street  Lake Elsinore CA 92530
09/27/2023,11/01/2023,09/29/2023,Kuubix Global LLC,San Joaquin County,17 Closure Permanent,4280 Metro Drive  Stockton CA 95215
10/03/2023,11/01/2023,10/03/2023,Bloom Energy Corporation,Santa Clara County,54 Layoff Permanent,4353 N First St  San Jose CA 95134
09/27/2023,11/01/2023,09/29/2023,Kuubix Global LLC,Tulare County,46 Closure Permanent,7401-7405 W. Sunnyview Avenue  Visalia CA 93291
10/04/2023,11/03/2023,12/15/2023,Gilead Sciences,San Mateo County,41 Layoff Permanent,333 Lakeside Drive  Foster City CA 94404
10/04/2023,11/03/2023,03/15/2023,Gilead Sciences,San Mateo County,1 Layoff Permanent,333 Lakeside Drive  Foster City CA 94404
10/03/2023,11/03/2023,01/31/2024,Newell Brands Distribution LLC,San Bernardino County,48 Closure Permanent,13052 Jurupa Avenue  Fontana CA 92337
10/03/2023,11/06/2023,12/18/2023,Zymergen Inc.,Alameda County,101 Layoff Permanent,5300 Chiron Way  Emeryville CA 94608
10/04/2023,11/06/2023,12/11/2023,Amware Fulfillment LLC,Los Angeles County,83 Closure Permanent,16620 Stagg Street  Van Nuys CA 91406
10/04/2023,11/06/2023,12/11/2023,Amware Fulfillment LLC,Los Angeles County,1 Closure Permanent,7855 Hayvenhurst Ave  Van Nuys CA 91406
10/03/2023,11/06/2023,12/04/2023,"Juniper Networks, Inc.",Santa Clara County,108 Layoff Permanent,1133 Innovation Way  Sunnyvale CA 94089
10/04/2023,11/06/2023,12/04/2023,"Performance Plastics, Inc.",San Diego County,77 Closure Permanent,7919 St. Andrews Ave  San Diego CA 92154
08/10/2023,11/08/2023,09/30/2023,"Centerra Group, LLC",Humboldt County,6 Layoff Permanent,3140 Boeing Avenue  Mckinleyville CA 95519
08/10/2023,11/08/2023,09/30/2023,"Centerra Group, LLC",Los Angeles County,71 Layoff Permanent,350 W 1st St  Los Angeles CA 90012
08/10/2023,11/08/2023,09/30/2023,"Centerra Group, LLC",Los Angeles County,1 Layoff Permanent,255 E Temple St  Los Angeles CA 90012
08/10/2023,11/08/2023,09/30/2023,"Centerra Group, LLC",Los Angeles County,6 Layoff Permanent,21041 Burbank Blvd  Woodland Hills CA 91367
08/10/2023,11/08/2023,09/30/2023,"Centerra Group, LLC",Alameda County,21 Layoff Permanent,1300-13001 Clay St.  Oakland CA 94612
08/10/2023,11/08/2023,09/30/2023,"Centerra Group, LLC",San Diego County,67 Layoff Permanent,221 W Broadway  San Diego CA 92101
08/10/2023,11/08/2023,09/30/2023,"Centerra Group, LLC",San Diego County,1 Layoff Permanent,325 W F St  San Diego CA 92101
08/10/2023,11/08/2023,09/30/2023,"Centerra Group, LLC",San Diego County,1 Layoff Permanent,101 West Broadway  San Diego CA 92101
08/10/2023,11/08/2023,09/30/2023,"Centerra Group, LLC",San Diego County,1 Layoff Permanent,333 W Broadway  San Diego CA 92101
