04/18/2024,04/18/2024.1,06/03/2024,Aura Management Co.,Solano County,13 Closure Permanent,801 Orange Drive  Vacaville CA 95687
04/18/2024,04/18/2024,06/04/2024,Aura Management Co.,Solano County,17 Closure Permanent,4301 Sonoma Blvd.  Vallejo CA 94589
04/18/2024,04/18/2024,06/05/2024,Aura Management Co.,Sonoma County,12 Closure Permanent,2500 Guerneville Road  Santa Rosa CA 95401
04/11/2024,04/18/2024,06/11/2024,Para Los Ninos,Los Angeles County,25 Layoff Permanent,474 Hartford Avenue  Los Angeles CA 90017
04/11/2024,04/18/2024,06/11/2024,Para Los Ninos,Los Angeles County,23 Layoff Permanent,1617 E. 7th Street  Los Angeles CA 90021
04/11/2024,04/18/2024,06/11/2024,Para Los Ninos,Los Angeles County,19 Layoff Permanent,835 Stanford Ave  Los Angeles CA 90021
04/09/2024,04/18/2024,06/06/2024,Chick-fil-A,Los Angeles County,82 Closure Temporary,7681 Carson Blvd.  Long Beach CA 90808
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Alameda County,1 Layoff Permanent,1301 Clay Street  Oakland CA 94612
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,2 Layoff Permanent,5133 N. Gates Avenue  Fresno CA 93722
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,3 Layoff Permanent,865 Fulton Mall  Fresno CA 93721
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,1 Layoff Permanent,2440 Tulare Street  Fresno CA 93721
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,10 Layoff Permanent,2500 Tulare Street  Fresno CA 93721
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,6 Layoff Permanent,5140 E. Olive Ave  Fresno CA 93721
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,2 Layoff Permanent,2525 Capitol Street  Fresno CA 93721
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,2 Layoff Permanent,1325 Broadway  Fresno CA 93721
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,2 Layoff Permanent,640 W. Locust Avenue  Fresno CA 93650
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,2 Layoff Permanent,733 L Street  Fresno CA 93721
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,3 Layoff Permanent,744 P Street  Fresno CA 93721
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,3 Layoff Permanent,700 P Street  Fresno CA 93721
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Fresno County,1 Layoff Permanent,5045 Butler Ave  Fresno CA 93727
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Kern County,3 Layoff Permanent,5300 Office Park  Bakersfield CA 93309
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Kern County,3 Layoff Permanent,2575 Haley Street  Bakersfield CA 93305
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Kern County,1 Layoff Permanent,800 Truxtun Avenue  Bakersfield CA 93301
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Kern County,1 Layoff Permanent,212 Coffee Road  Bakersfield CA 93309
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Monterey County,3 Layoff Permanent,100 E. Alvin Drive  Salinas CA 93906
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Monterey County,1 Layoff Permanent,928 E. Blanco Road  Salinas CA 93901
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,Placer County,4 Layoff Permanent,"915 Highland Point Drive, Suite 250  Roseville CA 95678"
03/27/2024,04/22/2024,05/31/2024,Triple Canopy,San Francisco County,24 Layoff Permanent,90 7th Street  San Francisco CA 94103
