04/19/2024,04/25/2024,06/18/2024,Revol Greens,Kern County,100 Layoff Permanent,20570 Pellisier Road  Tehachapi CA 93561
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Alameda County,"1,452 Layoff Permanent",45500 Fremont Blvd  Fremont CA 94538
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Alameda County,25 Layoff Permanent,47623 Fremont Blvd  Fremont CA 94538
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Alameda County,11 Layoff Permanent,4170 Business Center Drive  Fremont CA 94538
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Alameda County,8 Layoff Permanent,3777 Spinnaker Court  Fremont CA 94538
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Alameda County,6 Layoff Permanent,44320-44350 Nobel Drive  Fremont CA 94538
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Los Angeles County,6 Layoff Permanent,633 S. San Fernando Blvd  Burbank CA 91502
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Los Angeles County,28 Layoff Permanent,"3022 Kenwood Street, Suite E  Burbank CA 91505"
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Los Angeles County,30 Layoff Permanent,811 S. San Fernando Blvd  Burbank CA 91502
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,9 Layoff Permanent,701 D&rsquo;Arcy Pkwy  Lathrop CA 95330
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,77 Layoff Permanent,17100 Murphy Parkway  Lathrop CA 95330
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,49 Layoff Permanent,18250 Murphy Parkway  Lathrop CA 95330
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,23 Layoff Permanent,5150 Glacier Street  Lathrop CA 95330
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,24 Layoff Permanent,500 E Louise Avenue  Lathrop CA 95330
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,17 Layoff Permanent,401 Nestle Way  Lathrop CA 95330
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,32 Layoff Permanent,18260 S Harlan Road  Lathrop CA 95330
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,284 Layoff Permanent,700 D&rsquo;Arcy Pkwy  Lathrop CA 95330
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,1 Layoff Permanent,1220 Page Avenue  Fremont CA 94538
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,3 Layoff Permanent,47811 Warm Springs Blvd  Fremont CA 94539
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,17 Layoff Permanent,48370 Kato Road  Fremont CA 94538
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,19 Layoff Permanent,1055 Page Avenue  Fremont CA 94538
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,108 Layoff Permanent,47400 Kato Road  Fremont CA 94538
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,214 Layoff Permanent,47700 Kato Road  Fremont CA 94538
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",San Joaquin County,403 Layoff Permanent,901 Page Avenue  Fremont CA 94538
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Santa Clara County,155 Layoff Permanent,3500 Deer Creek Road  Palo Alto CA 94304
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Santa Clara County,237 Layoff Permanent,1501 Page Mill Road  Palo Alto CA 94304
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Santa Clara County,81 Layoff Permanent,3000 Hanover Street  Palo Alto CA 94304
04/22/2024,04/25/2024,06/14/2024,"Tesla, Inc.",Santa Clara County,11 Layoff Permanent,4180 El Camino Real  Palo Alto CA 94306
