05/13/2024,05/13/2024.1,06/20/2024,"Tesla, Inc.",Santa Clara County,118 Layoff Permanent,3500 Deer Creek Road  Palo Alto CA 94304
05/13/2024,05/13/2024,07/12/2024,"American Eagle Outfitters, Inc.",San Francisco County,52 Closure Permanent,"865 Market Street, Suite #148  San Francisco CA 94103"
05/13/2024,05/13/2024,08/31/2024,"Knox Attorney Service, Inc.",Yolo County,2 Closure Permanent,1250 Harbor Blvd. #500  West Sacramento CA 95691
04/24/2024,05/14/2024,06/28/2024,Amentum 1106th TASMG,Fresno County,113 Layoff Permanent,5168 E. Dakota Ave.  Fresno CA 93727
05/08/2024,05/14/2024,07/07/2024,Wayfinder Family Services,Los Angeles County,9 Closure Permanent,2111 West 84th Street  Los Angeles CA 90047
05/08/2024,05/14/2024,06/07/2024,Wayfinder Family Services,Los Angeles County,13 Closure Permanent,5324 Angeles Vista Blvd  Los Angeles CA 90043
05/08/2024,05/14/2024,07/07/2024,Wayfinder Family Services,Los Angeles County,6 Closure Permanent,5200 Angeles Vista Blvd  Los Angeles CA 90043
05/08/2024,05/14/2024,07/07/2024,Wayfinder Family Services,Los Angeles County,7 Closure Permanent,5336 Valley Ridge Avenue  Los Angeles CA 90043
05/08/2024,05/14/2024,07/07/2024,Wayfinder Family Services,Los Angeles County,9 Closure Permanent,5308 West Blvd  Los Angeles CA 90043
05/06/2024,05/14/2024,05/31/2024,"Herbalife International of America, Inc.",Los Angeles County,25 Layoff Permanent,800 West Olympic Blvd  Los Angeles CA 90015
05/06/2024,05/14/2024,05/31/2024,"Herbalife International of America, Inc.",Los Angeles County,70 Layoff Permanent,950 West 190th Street  Torrance CA 90502
05/06/2024,05/14/2024,05/31/2024,"Herbalife International of America, Inc.",Los Angeles County,40 Layoff Permanent,990 West 190th Street  Torrance CA 90502
05/13/2024,05/14/2024,07/19/2024,Laboratory Corporation of America Holdings,Los Angeles County,81 Closure Permanent,"10200 Pioneer Blvd., #500  Santa Fe Springs CA 90670"
05/13/2024,05/14/2024,07/12/2024,Indeed Inc.,San Mateo County,87 Layoff Permanent,1051 East Hillside Blvd. Suite 800 San Mateo CA 94404
05/13/2024,05/14/2024,08/30/2024,"Tropitone Furniture Company, Inc.",Orange County,117 Closure Permanent,5 Marconi  Irvine CA 92618
05/08/2024,05/14/2024,07/12/2024,Dennis Dillon RV,Orange County,67 Closure Permanent,5400 Garden Grove Blvd.  Westminster CA 92683
05/13/2024,05/14/2024,07/14/2024,"Sensei Wellness Holdings, Inc dba Sensei Porcupine Creek",Riverside County,78 Layoff Temporary,42765 Dunes View Rd  Rancho Mirage CA 92270
05/14/2024,05/14/2024,07/13/2024,BioMarin Pharmaceutical Inc.,Marin County,57 Layoff Permanent,770 Lindaro Street  San Rafael CA 94901
05/14/2024,05/14/2024,07/13/2024,BioMarin Pharmaceutical Inc.,Marin County,71 Layoff Permanent,105 Digital Drive  Novato CA 94949
05/14/2024,05/14/2024,07/13/2024,BioMarin Pharmaceutical Inc.,San Mateo County,3 Layoff Permanent,2000 Sierra Point Parkway  Brisbane CA 94005
05/14/2024,05/14/2024,07/13/2024,BioMarin Pharmaceutical Inc.,Sonoma County,1 Layoff Permanent,1600 Fisher Drive  Petaluma CA 94954
04/25/2024,05/15/2024,06/30/2024,WellSpace Health,Amador County,1 Layoff Permanent,11333 Prospect Drive  Jackson CA 95642
04/25/2024,05/15/2024,06/30/2024,WellSpace Health,Sacramento County,4 Layoff Permanent,631 H Street  Sacramento CA 95811
04/25/2024,05/15/2024,06/30/2024,WellSpace Health,Sacramento County,18 Layoff Permanent,1500 Expo Parkway  Sacramento CA 95815
04/25/2024,05/15/2024,06/30/2024,WellSpace Health,Sacramento County,4 Layoff Permanent,1550 Juliesse Avenue  Sacramento CA 95815
04/25/2024,05/15/2024,06/30/2024,WellSpace Health,Sacramento County,4 Layoff Permanent,2433 Macroni Avenue  Sacramento CA 95821
04/25/2024,05/15/2024,06/30/2024,WellSpace Health,Sacramento County,1 Layoff Permanent,5321 Stockton Blvd  Sacramento CA 95820
04/25/2024,05/15/2024,06/30/2024,WellSpace Health,Sacramento County,16 Layoff Permanent,4990 Stockton Blvd  Sacramento CA 95820
