06/20/2024,06/21/2024,08/19/2024,California Institute of Technology,Unnamed: 0,Los Angeles County,Unnamed: 1,54 Layoff Permanent,4800 Oak Grove Drive  La Canada Flintridge CA 91011,Unnamed: 2,Unnamed: 3
06/21/2024,06/24/2024,08/20/2024,Moxion Power Co.,,Contra Costa County,,101 Layoff Permanent,1414 Harbour Way S #1901  Richmond CA 94804,,
06/21/2024,06/24/2024,08/30/2024,"Trego/Dugan Aviation of Grand Island, Inc.",,Humboldt County,,6 Layoff Permanent,3561 Boeing Avenue  Mckinleyville CA 95519,,
06/21/2024,06/24/2024,08/26/2024,"Trego/Dugan Aviation of Grand Island, Inc.",,Shasta County,,10 Layoff Permanent,6751 Woodrum Cir # 200  Redding CA 96002,,
06/24/2024,06/24/2024,08/23/2024,ITC Federal,,Orange County,,44 Layoff Permanent,24000 Avila Road  Laguna Niguel CA 92677,,
06/24/2024,06/25/2024,08/23/2024,"Ginkgo Bioworks, Inc. - Suite 401",,Alameda County,,10 Layoff Permanent,5858 Horton St. Suite 401  Emeryville CA 94608,,
06/24/2024,06/25/2024,08/23/2024,"Ginkgo Bioworks, Inc.",,Alameda County,,3 Layoff Permanent,1440 Stanford Ave.  Emeryville CA 94608,,
06/25/2024,06/25/2024,09/27/2024,Corteva Agriscience,,Contra Costa County,,4 Layoff Permanent,901 Loveridge Road  Pittsburg CA 94565,,
06/25/2024,06/25/2024,11/08/2024,Corteva Agriscience,,Contra Costa County,,2 Layoff Permanent,901 Loveridge Road  Pittsburg CA 94565,,
06/25/2024,06/25/2024,08/24/2024,AT&T - 5001,,Contra Costa County,,19 Layoff Permanent,5001 Executive Parkway  San Ramon CA 94583,,
06/25/2024,06/25/2024,08/24/2024,AT&T - 5005,,Contra Costa County,,37 Layoff Permanent,5005 Executive Parkway  San Ramon CA 94583,,
06/24/2024,06/25/2024,08/23/2024,"Lacework, Inc.",,Santa Clara County,,180 Layoff Permanent,"391 San Antonio Road, Floor 3  Mountain View CA 94040",,
06/21/2024,06/25/2024,06/28/2024,Hilton Oakland Airport Hotel,,Alameda County,,152 Closure Permanent,One Hegenberger Rd  Oakland CA 94621,,
06/20/2024,06/25/2024,08/31/2024,"Aveanna Healthcare, LLC",,Orange County,,1 Closure Permanent,23046 Avenida de la Carlota Suite 210  Laguna Hills CA 92653,,
06/20/2024,06/25/2024,08/31/2024,"Aveanna Healtcare, LLC",,San Diego County,,3 Closure Permanent,338 Via Vera Cruz Suite 210  San Marcos CA 92078,,
06/25/2024,06/26/2024,07/26/2024,"DexCom, Inc.",,San Diego County,,535 Layoff Permanent,6340-6350 Sequence Dr.  San Diego CA 92121,,
06/26/2024,06/26/2024,08/26/2024,Planet Labs PBC,,San Francisco County,,98 Layoff Permanent,"645 Harrison Street, 4th Floor  San Francisco CA 94107",,
06/21/2024,06/26/2024,08/30/2024,J. R. Simplot Company,,San Joaquin County,,108 Layoff Permanent,16777 S. Howland Road  Lathrop CA 95330,,
06/27/2024,06/27/2024,08/29/2024,Lockheed Martin Space,,Santa Clara County,,68 Layoff Permanent,1111 Lockheed Martin Way  Sunnyvale CA 94089,,
06/28/2024,06/28/2024,08/30/2024,Kohana Coffee Company,,Contra Costa County,,51 Closure Permanent,514 West Ohio Avenue  Richmond CA 94804,,
06/28/2024,06/28/2024,08/30/2024,Firebaugh Facility of Olam Americas,,Fresno County,,275 Closure Permanent,4761 West Nees Avenue  Firebaugh CA 93622,,
06/20/2024,06/28/2024,08/20/2024,CI Office,,Sacramento County,,12 Layoff Temporary,"10630 Mather Blvd, Suite 200  Mather CA 95655",,
06/20/2024,06/28/2024,08/20/2024,CI Manufacturing Facility,,Sacramento County,,153 Layoff Temporary,"8825 Elder Creek Road, Suite 600  Sacramento CA 95828",,
Summary,,Employees,,,Temporary,,Not Identified Permanent,,,Not Identified
by Month,Notices,Affected,Permanent Layoff,,Layoff,,Layoff Closure,Temporary Closure,,Closure
July 2023,88,"4,008",,60.0,,1.0,0 26,,1.0,0
August 2023,107,"6,586",,41.0,,1.0,0 64,,1.0,0
September 2023,93,"3,969",,66.0,,1.0,0 22,,4.0,0
October 2023,160,"8,751",,120.0,,7.0,0 30,,3.0,0
November 2023,128,"9,417",,87.0,,7.0,1 31,,2.0,0
December 2023,143,"4,425",,118.0,,2.0,0 23,,0.0,0
