10/30/2024,10/30/2024.1,12/31/2024,Sodexo,Los Angeles County,59 Closure Permanent,555 East Hardy Street  Inglewood CA 90301
10/29/2024,10/30/2024,01/02/2025,Ojai Valley Inn,Ventura County,753 Layoff Temporary,905 Country Club Road  Ojai CA 93023
10/31/2024,10/31/2024,12/31/2024,"Trademango Solutions Inc., dba Article",Alameda County,14 Layoff Permanent,20458 Corsair Blvd.  Hayward CA 94545
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Contra Costa County,8 Layoff Permanent,3050 Wilbur Avenue  Antioch CA 94509
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,El Dorado County,3 Layoff Permanent,2891 Mosquito Road  Placerville CA 95667
10/30/2024,10/31/2024,01/02/2025,IPG Mediabrands,Los Angeles County,103 Layoff Permanent,1840 Century Park East  Los Angeles CA 90067
10/30/2024,10/31/2024,01/02/2025,Host International Inc.,Los Angeles County,151 Layoff Permanent,1 World Way  Los Angeles CA 90045
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Merced County,1 Layoff Permanent,2249 Atwater Blvd  Atwater CA 95301
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Calaveras County,3 Layoff Permanent,746 Pool Station Road  San Andreas CA 95249
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Tuolumne County,3 Layoff Permanent,13079 Sanguinetti Road  Sonora CA 95370
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Butte County,10 Layoff Permanent,310 Nord Avenue  Chico CA 95926
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Nevada County,3 Layoff Permanent,720 S Auburn Street  Grass Valley CA 95945
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Plumas County,4 Layoff Permanent,188 Crescent Street  Quincy CA 95971
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Shasta County,7 Layoff Permanent,4990 Mountain Lakes Blvd  Redding CA 96003
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Glenn County,3 Layoff Permanent,245 Garden Street  Willows CA 95988
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Sacramento County,24 Layoff Permanent,5725 Alder Avenue  Sacramento CA 95828
10/25/2024,10/31/2024,12/31/2024,"GXO Logistics Supply Chain, Inc.",San Bernardino County,231 Layoff Permanent,3520 Cactus Avenue  Bloomington CA 92316
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Santa Clara County,2 Layoff Permanent,6001 Rossi Lane  Gilroy CA 95020
10/31/2024,10/31/2024,12/31/2024,"FIG Leasing Co., Inc. a subsidiary of Farmers Group, Inc.",Los Angeles County,56 Layoff Permanent,19191 South Vermont Avenue  Torrance CA 90502
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Stanislaus County,23 Layoff Permanent,720 B Street  Modesto CA 95354
10/29/2024,10/31/2024,01/01/2025,Hunt & Sons LLC,Stanislaus County,1 Layoff Permanent,746 Merced Street  Newman CA 95360
10/31/2024,10/31/2024,12/31/2024,"FIG Leasing Co., Inc. a subsidiary of Farmers Group, Inc.",Los Angeles County,130 Layoff Permanent,2255 N. Ontario Street  Burbank CA 91504
11/01/2024,11/01/2024,01/01/2025,"8490 Hospitality LLC, dba Catch Steak",Los Angeles County,110 Closure Permanent,650 N La Cienega Blvd  Los Angeles CA 90069
11/01/2024,11/01/2024,01/03/2025,Visa,San Francisco County,65 Layoff Permanent,300 Toni Stone Crossing  San Francisco CA 94158
11/01/2024,11/01/2024,01/03/2025,Visa,San Mateo County,26 Layoff Permanent,900 Metro Center Blvd  Foster City CA 94404
10/29/2024,11/01/2024,12/31/2024,California Human Development,San Joaquin County,7 Closure Permanent,2895 Teepee Drive  Stockton CA 95205
11/04/2024,11/04/2024,01/03/2025,"Trophy Universal City Group LLC, dba Universal City Nissan",Los Angeles County,86 Closure Permanent,3550 Cahuenga Blvd West  Los Angeles CA 90068
11/01/2024,11/04/2024,01/03/2025,Terre du Soleil dba Auberge du Soleil,Napa County,217 Layoff Temporary,180 Rutherford Hill Road  Rutherford CA 94573
