11/20/2024,11/20/2024.1,12/02/2024,"Veritas Technologies, LLC",Santa Clara County,50 Layoff Permanent,2625 Augustine Drive  Santa Clara CA 95054
11/18/2024,11/20/2024,11/12/2024,"GoForward, Inc.",Orange County,1 Closure Permanent,879 Newport Center Drive  Newport Beach CA 92660
11/18/2024,11/20/2024,11/12/2024,"GoForward, Inc.",San Francisco County,89 Closure Permanent,"550 Kearny, #600  San Francisco CA 94108"
11/20/2024,11/20/2024,01/16/2025,"Joslyn Sunbank Company, LLC",San Luis Obispo County,64 Closure Permanent,1740 Commerce Way  Paso Robles CA 93446
11/21/2024,11/21/2024,01/24/2025,LifeCare Assurance Company,Los Angeles County,50 Layoff Permanent,"Oxnard Street, Suite 1500  Woodland Hills CA 91367"
11/21/2024,11/21/2024,01/21/2025,Visa,San Francisco County,10 Layoff Permanent,300 Toni Stone Crossing  San Francisco CA 94158
11/21/2024,11/21/2024,01/21/2025,Visa,San Mateo County,192 Layoff Permanent,900 Metro Center Blvd  San Mateo CA 94404
11/21/2024,11/21/2024,01/13/2025,Orora Packaging Solutions dba Manufactured Packaging,Orange County,60 Closure Permanent,3200 Enterprise Street  Brea CA 92821
,,,Products,,,
11/22/2024,11/22/2024,01/24/2025,"Universal Protection Service, LP dba Allied Universal Security",Orange County,61 Layoff Permanent,3440 E. La Palma Avenue  Anaheim CA 92806
,,,Services,,,
11/22/2024,11/22/2024,01/24/2025,"Universal Protection Service, LP dba Allied Universal Security",Orange County,66 Layoff Permanent,6640 Alton Pkwy  Irvine CA 92618
,,,Services,,,
11/22/2024,11/22/2024,01/24/2025,"Universal Protection Service, LP dba Allied Universal Security",San Bernardino County,113 Layoff Permanent,9961 Sierra Avenue  Fontana CA 92335
,,,Services,,,
11/22/2024,11/22/2024,01/24/2025,"Universal Protection Service, LP dba Allied Universal Security",San Bernardino County,68 Layoff Permanent,2295 S Vineyard Avenue  Ontario CA 91761
,,,Services,,,
11/22/2024,11/25/2024,12/23/2024,Paramount Global,Los Angeles County,4 Layoff Permanent,1575 N. Gower Street  Los Angeles CA 90028
11/22/2024,11/25/2024,12/23/2024,Paramount Global,Los Angeles County,1 Layoff Permanent,5555 Melrose Avenue  Los Angeles CA 90038
11/22/2024,11/25/2024,12/23/2024,Paramount Global,Los Angeles County,1 Layoff Permanent,2900 W Alameda Avenue  Burbank CA 91505
11/22/2024,11/26/2024,01/21/2025,AT&T,Contra Costa County,34 Layoff Permanent,5005 Executive Pkwy  San Ramon CA 94583
11/22/2024,11/26/2024,01/21/2025,AT&T,Contra Costa County,22 Layoff Permanent,5001 Executive Pkwy  San Ramon CA 94583
11/21/2024,11/26/2024,02/28/2025,"Modern HR, Inc dba The Kooples Bloom, Inc.",Los Angeles County,4 Closure Permanent,8500 Beverly Blvd  Los Angeles CA 90048
11/21/2024,11/26/2024,02/28/2025,"Modern HR, Inc dba The Kooples Bloom, Inc.",Los Angeles County,3 Closure Permanent,10250 Santa Monica Blvd  Los Angeles CA 90067
11/21/2024,11/26/2024,02/28/2025,"Modern HR, Inc dba The Kooples Bloom, Inc.",Los Angeles County,2 Closure Permanent,103 South Brand Blvd  Glendale CA 91210
11/21/2024,11/26/2024,02/28/2025,"Modern HR, Inc dba The Kooples Bloom, Inc.",Los Angeles County,7 Closure Permanent,14060 Riverside Drive  Sherman Oaks CA 91423
11/21/2024,11/26/2024,02/28/2025,"Modern HR, Inc dba The Kooples Bloom, Inc.",Orange County,4 Closure Permanent,3333 South Bristol Street  Cosa Mesa CA 92626
11/21/2024,11/26/2024,02/28/2025,"Modern HR, Inc dba The Kooples Bloom, Inc.",San Diego County,3 Closure Permanent,7057 Friars Rd  San Diego CA 92108
11/21/2024,11/26/2024,02/28/2025,"Modern HR, Inc dba The Kooples Bloom, Inc.",Santa Clara County,2 Closure Permanent,1 Stanford Shopping Center  Palo Alto CA 94304
11/21/2024,11/26/2024,02/28/2025,"Modern HR, Inc dba The Kooples Bloom, Inc.",Santa Clara County,3 Closure Permanent,2847 Steven's Creek Blvd  Santa Clara CA 95050
11/20/2024,11/26/2024,01/24/2025,"Shadow Holdings, LLC dba Bright Innovation Labs",Los Angeles County,2 Closure Permanent,26455 Ruether Avenue  Santa Clarita CA 91350
11/22/2024,11/26/2024,01/22/2025,Clark Pacific,San Bernardino County,43 Layoff Permanent,9367 Holly Rd  Adelanto CA 92301
11/27/2024,11/27/2024,01/31/2025,"Harbor Electronics, Inc.",Santa Clara County,92 Layoff Permanent,3021 Kenneth Street  Santa Clara CA 95054
