02/14/2025,02/14/2025.1,02/14/2025.2,Flagship Facility Services LLC,Alameda County,20 Layoff Permanent,6520 Kaiser Drive  Fremont CA 94555
02/14/2025,02/14/2025,02/14/2025,Flagship Facility Services LLC,San Francisco County,26 Layoff Permanent,250 Howard Street  San Francisco CA 94105
02/14/2025,02/14/2025,02/14/2025,Flagship Facility Services LLC,San Mateo County,10 Layoff Permanent,1 Facebook Way Bldg. 20  Menlo Park CA 94025
02/14/2025,02/14/2025,02/14/2025,Flagship Facility Services LLC,San Mateo County,23 Layoff Permanent,1 Facebook Way Bldg. 21  Menlo Park CA 94025
02/14/2025,02/14/2025,02/14/2025,Flagship Facility Services LLC,San Mateo County,4 Layoff Permanent,1 Hacker Way Bldg. 10  Menlo Park CA 94025
02/14/2025,02/14/2025,02/14/2025,Flagship Facility Services LLC,San Mateo County,35 Layoff Permanent,1 Hacker Way Bldg. 12  Menlo Park CA 94025
02/14/2025,02/14/2025,02/14/2025,Flagship Facility Services LLC,San Mateo County,9 Layoff Permanent,1 Hacker Way Bldg. 15  Menlo Park CA 94025
02/14/2025,02/14/2025,02/14/2025,Flagship Facility Services LLC,San Mateo County,18 Layoff Permanent,1 Hacker Way Bldg. 18  Menlo Park CA 94025
02/14/2025,02/14/2025,02/14/2025,Flagship Facility Services LLC,San Mateo County,1 Layoff Permanent,220 Jefferson Drive  Menlo Park CA 94025
02/14/2025,02/14/2025,02/14/2025,Flagship Facility Services LLC,San Mateo County,8 Layoff Permanent,300 Constitution Dr. Bldg. 23  Menlo Park CA 94025
02/14/2025,02/14/2025,02/14/2025,Flagship Facility Services LLC,San Mateo County,19 Layoff Permanent,305 Constitution Dr. Bldg. 22  Menlo Park CA 94025
02/14/2025,02/14/2025,02/14/2025,Flagship Facility Services LLC,Santa Clara County,24 Layoff Permanent,1180 Discovery Way Bldg. 5  Sunnyvale CA 94089
02/13/2025,02/14/2025,04/14/2025,"Panera, LLC",San Bernardino County,77 Closure Permanent,"1505 Dupont Ave., Suite H  Ontario CA 91761"
02/13/2025,02/14/2025,04/14/2025,"Panera, LLC",San Joaquin County,55 Closure Permanent,"2414 Boeing Way, Suite 200  Stockton CA 95206"
02/18/2025,02/18/2025,04/12/2025,"Ajinomoto Foods North America, Inc.",Alameda County,116 Layoff Permanent,2395 American Ave  Hayward CA 94545
02/18/2025,02/18/2025,04/21/2025,"F21 OpCo, LLC (F21)",Los Angeles County,358 Layoff Permanent,110 E 9th Street Suite A500 Los Angeles CA 90079
02/14/2025,02/18/2025,04/15/2025,"Niagara Bottling, LLC",Los Angeles County,73 Layoff Permanent,1440 Bridgegate Drive  Diamond Bar CA 91765
02/18/2025,02/18/2025,04/21/2025,STAAR Surgical Company,Los Angeles County,110 Layoff Permanent,1911 Walker Avenue  Monrovia CA 91016
02/18/2025,02/18/2025,04/21/2025,STAAR Surgical Company,Orange County,5 Layoff Permanent,"27121 Aliso Creek Road, Ste. 100  Aliso Viejo CA 92656"
02/17/2025,02/18/2025,04/16/2025,"Wood Candle Wick Technologies, Inc dba Makesy",Orange County,74 Closure Permanent,9750 Irvine Blvd. Suite 106 Irvine CA 92618
02/17/2025,02/18/2025,04/09/2025,Rite Aid,Orange County,23 Closure Permanent,211 East 17th Street  Costa Mesa CA 92627
02/18/2025,02/18/2025,04/21/2025,"Smart & Final Logistics, LLC",Riverside County,194 Layoff Permanent,2360 Cottonwood Avenue  Riverside CA 92508
02/18/2025,02/18/2025,04/21/2025,"Smart & Final Stores, LLC",Riverside County,23 Layoff Permanent,2360 Cottonwood Avenue  Riverside CA 92508
02/18/2025,02/18/2025,04/21/2025,Harvest Meat Company Inc.,Los Angeles County,62 Closure Permanent,2900 Ayers Ave  Vernon CA 90058
02/14/2025,02/18/2025,04/15/2025,Consolidated Entertainment LLC - Reading Cinemas,San Diego County,33 Closure Permanent,4665 Clairemont Drive  San Diego CA 92117
02/18/2025,02/18/2025,04/21/2025,Harvest Meat Company Inc.,San Diego County,109 Closure Permanent,1022 Bay Marina Dr #106  National City CA 91950
02/18/2025,02/18/2025,04/30/2025,Kuehne + Nagel Inc.,Los Angeles County,59 Layoff Permanent,"2525 W 190th St, M/S 22 1kn  Torrance CA 90504"
02/18/2025,02/18/2025,04/21/2025,Parker Engine Mobile,Stanislaus County,20 Layoff Permanent,1640 Cummins Drive  Modesto CA 95358
