02/25/2025,02/25/2025.1,05/30/2025,Corteva Agriscience LLC,Contra Costa County,26 Layoff Permanent,901 Loveridge Road  Pittsburg CA 94565
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Alameda County,3 Layoff Permanent,1701 Eastshore Hwy  Berkeley CA 94710
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Alameda County,1 Layoff Permanent,1705 Eastshore Hwy  Berkeley CA 94710
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Alameda County,1 Layoff Permanent,1725 Eastshore Hwy  Berkeley CA 94710
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Alameda County,1 Layoff Permanent,1750 Second Street  Berkeley CA 94710
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Alameda County,1 Layoff Permanent,3100 Dublin Blvd  Dublin CA 94568
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Alameda County,1 Layoff Permanent,1800 Harrison Street  Oakland CA 94612
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Alameda County,1 Layoff Permanent,1950 Franklin Street  Oakland CA 94612
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Alameda County,14 Layoff Permanent,One Kaiser Plaza  Oakland CA 94612
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Alameda County,10 Layoff Permanent,"4460 Hacienda Dr., Bldg. A  Pleasanton CA 94588"
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Contra Costa County,1 Layoff Permanent,1515 Newell Ave  Walnut Creek CA 94596
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Contra Costa County,2 Layoff Permanent,501 Lennon Lane  Walnut Creek CA 94598
02/21/2025,02/25/2025,04/29/2025,Four Points by Sheraton,Los Angeles County,181 Closure Permanent,9750 Airport Blvd  Los Angeles CA 90045
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Los Angeles County,2 Layoff Permanent,12254 Bellflower Blvd  Downey CA 90242
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Los Angeles County,1 Layoff Permanent,9333 Imperial Hwy  Downey CA 90242
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Los Angeles County,1 Layoff Permanent,25825 Vermont Ave  Harbor City CA 90710
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Los Angeles County,2 Layoff Permanent,1515 N. Vermont Ave  Los Angeles CA 90027
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Los Angeles County,1 Layoff Permanent,75 N. Fair Oaks Ave  Pasadena CA 91103
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Los Angeles County,3 Layoff Permanent,99 S. Oakland Ave  Pasadena CA 91101
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Los Angeles County,8 Layoff Permanent,393 E. Walnut Street  Pasadena CA 91188
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Orange County,1 Layoff Permanent,200 N. Lewis Street  Orange CA 92868
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Placer County,1 Layoff Permanent,2120 Professional Drive  Roseville CA 95661
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,San Bernardino County,1 Layoff Permanent,9961 Sierra Ave  Fontana CA 92335
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,San Diego County,2 Layoff Permanent,8954 Rio San Diego Drive  San Diego CA 92108
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,San Diego County,2 Layoff Permanent,9455 Clairemont Mesa Blvd  San Diego CA 92123
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,San Mateo County,1 Layoff Permanent,1200 El Camino Real  South San Francisco CA 94080
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Santa Clara County,1 Layoff Permanent,5901 Optical Court  San Jose CA 95138
02/24/2025,02/25/2025,04/25/2025,Kaiser Foundation Hospitals,Stanislaus County,1 Layoff Permanent,4601 Dale Road  Modesto CA 95356
