09/17/2024,09/17/2024.1,11/18/2024,International Business Machines Corporation (IBM),Santa Clara County,54 Layoff Permanent,555 Bailey Avenue  San Jose CA 95141
09/17/2024,09/17/2024,12/09/2024,"Monterey Mushrooms, LLC",Santa Cruz County,605 Closure Permanent,777 Maher Court  Royal Oaks CA 95076
09/18/2024,09/18/2024,10/19/2024,"Cuberg, Inc.",Alameda County,27 Closure Permanent,2020 Williams Street  San Leandro CA 94577
09/20/2024,09/20/2024,12/23/2024,Jabil Inc.,Orange County,59 Closure Temporary,26211 Enterprise Way  Lake Forest CA 92630
09/20/2024,09/20/2024,11/20/2024,USC Verdugo Hills Hospital,Los Angeles County,65 Closure Permanent,1812 Verdugo Boulevard  Glendale CA 91208
09/23/2024,09/23/2024,12/23/2024,Jabil Inc.,Alameda County,156 Closure Temporary,4050 Technology Place  Fremont CA 94538
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Alameda County,13 Layoff Permanent,5810 Owens Drive  Pleasanton CA 94588
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Alameda County,1 Layoff Permanent,One Kaiser Plaza  Oakland CA 94612
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Alameda County,1 Layoff Permanent,1950 Franklin Street  Oakland CA 94612
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Alameda County,1 Layoff Permanent,2401 Merced Street  San Leandro CA 94577
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Contra Costa County,1 Layoff Permanent,501 Lennon Lane  Walnut Creek CA 94598
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Los Angeles County,2 Layoff Permanent,12200 Bellflower Blvd  Downey CA 90242
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Los Angeles County,1 Layoff Permanent,9333 Imperial Hwy  Downey CA 90242
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Los Angeles County,2 Layoff Permanent,75 N. Fair Oaks Avenue  Pasadena CA 91103
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Los Angeles County,5 Layoff Permanent,99 S. Oakland Avenue  Pasadena CA 91101
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Los Angeles County,1 Layoff Permanent,393 E. Walnut Street  Pasadena CA 91188
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Orange County,2 Layoff Permanent,1707 Barcelona Circle  Placentia CA 92870
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Riverside County,7 Layoff Permanent,1830 California Avenue  Corona CA 92881
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Riverside County,1 Layoff Permanent,182 Granite Street  Corona CA 92879
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Sacramento County,1 Layoff Permanent,6600 Bruceville Roaad  Sacramento CA 95823
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Sacramento County,1 Layoff Permanent,7880 Alta Valley Drive  Sacramento CA 95823
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,San Mateo County,1 Layoff Permanent,801 Traeger Avenue  San Bruno CA 94066
09/23/2024,09/23/2024,11/22/2024,Kaiser Foundation Hospitals,Sonoma County,2 Layoff Permanent,401 Bicentennial Way  Santa Rosa CA 95403
09/20/2024,09/23/2024,11/25/2024,Twelve Oaks Foundation dba Twelve Oaks Senior Living,Los Angeles County,20 Layoff Permanent,2820 Sycamore Avenue  Glendale CA 91214
09/23/2024,09/24/2024,11/18/2024,Paramount Global,Los Angeles County,14 Layoff Permanent,1575 N. Gower Street  Los Angeles CA 90028
09/24/2024,09/24/2024,12/27/2024,"Mini Pharmacy Enterprises, Inc.",Los Angeles County,50 Closure Permanent,2425 Porter St  Los Angeles CA 90021
09/24/2024,09/24/2024,11/23/2024,"Newark Group, Inc.",Santa Clara County,32 Closure Permanent,235 San Pedro Avenue  Morgan Hill CA 95037
09/26/2024,09/26/2024,01/03/2025,Corteva Agriscience LLC,Contra Costa County,18 Layoff Permanent,901 Loveridge Road  Pittsburg CA 94565
