month,warn_layoffs,pred_warn_layoffs,actual_risk_level,predicted_risk_level,split
2021-03-01,3848,2505.564314639727,Medium,Low,train
2021-04-01,4122,2703.5049315100428,Medium,Low,train
2021-05-01,2720,2951.1371564821247,Low,Low,train
2021-06-01,1672,3106.5206298210546,Low,Low,train
2021-07-01,2616,3228.6834765523868,Low,Low,train
2021-08-01,3766,3235.1948324705163,Low,Low,train
2021-09-01,4007,3412.472178310797,Medium,Low,train
2021-10-01,3339,3442.6694516774924,Low,Low,train
2021-11-01,3754,3480.9332966478187,Low,Low,train
2021-12-01,3561,3436.1985300717456,Low,Low,train
2022-01-01,3232,3435.3258566736495,Low,Low,train
2022-02-01,1117,3293.6801058715105,Low,Low,train
2022-03-01,3747,3220.4325545303564,Low,Low,train
2022-04-01,2965,3455.198694907066,Low,Low,train
2022-05-01,2677,3443.6385804461634,Low,Low,train
2022-06-01,3370,3737.411668462815,Low,Low,train
2022-07-01,5153,3920.4449086928403,Medium,Medium,train
2022-08-01,5310,4137.243193122509,Medium,Medium,train
2022-09-01,5408,4878.874227908916,Medium,Medium,train
2022-10-01,6224,4977.896680838521,Medium,Medium,train
2022-11-01,10368,5510.443941188795,High,Medium,train
2022-12-01,6397,6193.578394547443,Medium,Medium,train
2023-01-01,12029,6502.468889506714,High,Medium,train
2023-02-01,9827,6478.055060512363,High,Medium,train
2023-03-01,7323,6484.914738452323,High,Medium,train
2023-04-01,11179,6731.77435204638,High,Medium,train
2023-05-01,7894,7091.311353792832,High,High,train
2023-06-01,3841,7369.6252188011795,Low,High,train
2023-07-01,3286,6923.498063829337,Low,Medium,train
2023-08-01,5787,6939.373986070523,Medium,Medium,train
2023-09-01,7061,7444.511589494333,Medium,High,train
2023-10-01,6862,7393.925449038879,Medium,High,train
2023-11-01,6490,7426.190307427859,Medium,High,train
2023-12-01,5453,7170.6916399332285,Medium,High,train
2024-01-01,10171,7099.921955974798,High,High,train
2024-02-01,6626,6957.359780359442,Medium,Medium,train
2024-03-01,6539,6897.139712441705,Medium,Medium,train
2024-04-01,12071,7083.345703571106,High,High,train
2024-05-01,7065,7121.195794429952,High,High,train
2024-06-01,4310,6864.59950291121,Medium,Medium,train
2024-07-01,4169,6648.439450511594,Medium,Medium,test
2024-08-01,4876,6586.872712195682,Medium,Medium,test
2024-09-01,7602,6846.336407549258,High,Medium,test
2024-10-01,7325,6693.740541154676,High,Medium,test
2024-11-01,9278,6157.9788450258675,High,Medium,test
2024-12-01,2588,5635.325900722676,Low,Medium,test
2025-01-01,6539,5478.275077436893,Medium,Medium,test
2025-02-01,7060,5338.824388326366,Medium,Medium,test
2025-03-01,5635,5194.448509981182,Medium,Medium,test
2025-04-01,6571,5224.523563313975,Medium,Medium,test
2025-05-01,5964,5190.628887703912,Medium,Medium,test
2025-06-01,3839,5095.494548535827,Low,Medium,test
