month,warn_layoffs
2020-07-01,32814
2020-08-01,15544
2020-09-01,14535
2020-10-01,10477
2020-11-01,9323
2020-12-01,19996
2021-01-01,8541
2021-02-01,3772
2021-03-01,3848
2021-04-01,4122
2021-05-01,2720
2021-06-01,1672
2021-07-01,2616
2021-08-01,3766
2021-09-01,4007
2021-10-01,3339
2021-11-01,3754
2021-12-01,3561
2022-01-01,3232
2022-02-01,1117
2022-03-01,3747
2022-04-01,2965
2022-05-01,2677
2022-06-01,3370
2022-07-01,5153
2022-08-01,5310
2022-09-01,5408
2022-10-01,6224
2022-11-01,10368
2022-12-01,6397
2023-01-01,12029
2023-02-01,9827
2023-03-01,7323
2023-04-01,11179
2023-05-01,7894
2023-06-01,3841
2023-07-01,3286
2023-08-01,5787
2023-09-01,7061
2023-10-01,6862
2023-11-01,6490
2023-12-01,5453
2024-01-01,10171
2024-02-01,6626
2024-03-01,6539
2024-04-01,12071
2024-05-01,7065
2024-06-01,4310
2024-07-01,4169
2024-08-01,4876
2024-09-01,7602
2024-10-01,7325
2024-11-01,9278
2024-12-01,2588
2025-01-01,6539
2025-02-01,7060
2025-03-01,5635
2025-04-01,6571
2025-05-01,5964
2025-06-01,3839
