month,news_volume
2020-07-01,64201
2020-08-01,47418
2020-09-01,41715
2020-10-01,27663
2020-11-01,19858
2020-12-01,28134
2021-01-01,25409
2021-02-01,24282
2021-03-01,22878
2021-04-01,18249
2021-05-01,18703
2021-06-01,16866
2021-07-01,15321
2021-08-01,9817
2021-09-01,12369
2021-10-01,12244
2021-11-01,11509
2021-12-01,12961
2022-01-01,11025
2022-02-01,10253
2022-03-01,12349
2022-04-01,11547
2022-05-01,13261
2022-06-01,19846
2022-07-01,16759
2022-08-01,15098
2022-09-01,13822
2022-10-01,15582
2022-11-01,35406
2022-12-01,18951
2023-01-01,36126
2023-02-01,31446
2023-03-01,26978
2023-04-01,14491
2023-05-01,13961
2023-06-01,12100
2023-07-01,10572
2023-08-01,9351
2023-09-01,9461
2023-10-01,8544
2023-11-01,9318
2023-12-01,10849
2024-01-01,12365
2024-02-01,12477
2024-03-01,11919
2024-04-01,14346
2024-05-01,11448
2024-06-01,10385
2024-07-01,10123
2024-08-01,11606
2024-09-01,14120
2024-10-01,12440
2024-11-01,12824
2024-12-01,13507
2025-01-01,12886
2025-02-01,26180
2025-03-01,27934
2025-04-01,25313
2025-05-01,19510
2025-06-01,9367
