month,warn_layoffs
2020-07-01,32814
2020-08-01,15544
2020-09-01,14535
2020-10-01,10477
2020-11-01,9323
2020-12-01,19996
2021-01-01,8541
2021-02-01,3772
2021-03-01,3848
2021-04-01,4122
2021-05-01,2720
2021-06-01,1672
2021-07-01,2615
2021-08-01,3766
2021-09-01,3926
2021-10-01,3309
2021-11-01,3754
2021-12-01,3533
2022-01-01,3232
2022-02-01,1117
2022-03-01,3634
2022-04-01,2965
2022-05-01,2677
2022-06-01,3370
2022-07-01,5153
2022-08-01,5302
2022-09-01,5406
2022-10-01,6197
2022-11-01,10295
2022-12-01,6392
2023-01-01,11789
2023-02-01,9816
2023-03-01,7319
2023-04-01,11077
2023-05-01,7699
2023-06-01,3836
2023-07-01,3284
2023-08-01,5732
2023-09-01,7061
2023-10-01,6857
2023-11-01,6481
2023-12-01,5443
2024-01-01,10155
2024-02-01,6601
2024-03-01,6493
2024-04-01,11980
2024-05-01,7046
2024-06-01,4309
2024-07-01,4169
2024-08-01,4823
2024-09-01,7593
2024-10-01,7252
2024-11-01,9143
2024-12-01,2586
2025-01-01,6535
2025-02-01,6882
2025-03-01,5620
2025-04-01,6484
2025-05-01,5962
2025-06-01,3836
